"Node ID",Title,"Date & Time",Habitat,Location,State,Method,Notes,"Number of Cranes","Spotter Username","Created Date"
4811,Observation,"1980-10-31 12:00:00",Wetland,"35.77978747, -84.25366388",TN,"Point count",.,185,admin,"2019-07-18 19:15:20"
4812,Observation,"1980-10-31 12:00:00",Wetland,"36.60015948, -85.15328592",TN,"Point count",.,304,admin,"2019-07-18 19:15:20"
4813,Observation,"1980-10-31 12:00:00",Wetland,"39.41584714, -86.03734255",IN,"Point count",.,250,admin,"2019-07-18 19:15:20"
4814,Observation,"1980-10-31 12:00:00",Wetland,"41.09617443, -86.93679938",IN,"Point count","GNR LOC OF MAIN ROOST",10619,admin,"2019-07-18 19:15:20"
4815,Observation,"1980-10-31 12:00:00",Wetland,"42.254, -84.31",MI,"Point count","CNT PNT OF SANCTUARY",1545,admin,"2019-07-18 19:15:20"
4816,Observation,"1980-10-31 12:00:00",Wetland,"42.371, -85.003",MI,"Point count","GNR LOC OF ROOST",117,admin,"2019-07-18 19:15:20"
4817,Observation,"1980-10-31 12:00:00",Wetland,"43.71709992, -89.45652193",WI,"Point count",.,12,admin,"2019-07-18 19:15:20"
4818,Observation,"1980-10-31 12:00:00",Wetland,"43.74416482, -89.18368082",WI,"Point count",.,3,admin,"2019-07-18 19:15:20"
4819,Observation,"1980-10-31 12:00:00",Wetland,"43.9358447, -89.24933721",WI,"Point count",.,3,admin,"2019-07-18 19:15:20"
4820,Observation,"1980-10-31 12:00:00",Wetland,"44.07619404, -90.1045017",WI,"Point count","GNR LOC OF ROOST",142,admin,"2019-07-18 19:15:20"
4821,Observation,"1980-10-31 12:00:00",Wetland,"44.30721248, -90.48966331",WI,"Point count",.,200,admin,"2019-07-18 19:15:20"
4822,Observation,"1980-10-31 12:00:00",Wetland,"44.38899151, -90.13363546",WI,"Point count","GNR LOC OF ROOST",435,admin,"2019-07-18 19:15:20"
4823,Observation,"1980-10-31 12:00:00",Wetland,"44.74, -90.616",WI,"Point count",.,110,admin,"2019-07-18 19:15:20"
4824,Observation,"1980-10-31 12:00:00",Wetland,"45.94593, -92.31516526",WI,"Point count",.,260,admin,"2019-07-18 19:15:20"
4825,Observation,"1981-10-31 12:00:00",Wetland,"28.91087497, -81.79619536",FL,"Point count",.,61,admin,"2019-07-18 19:15:20"
4826,Observation,"1981-10-31 12:00:00",Wetland,"29.58937034, -82.34437287",FL,"Point count",.,6,admin,"2019-07-18 19:15:20"
4827,Observation,"1981-10-31 12:00:00",Wetland,"29.60419692, -82.28189768",FL,"Point count",.,25,admin,"2019-07-18 19:15:20"
4828,Observation,"1981-10-31 12:00:00",Wetland,"30.78515611, -82.29045148",GA,"Ground count",.,15,admin,"2019-07-18 19:15:20"
4829,Observation,"1981-10-31 12:00:00",Wetland,"31.71483214, -83.25210089",GA,"Point count",.,200,admin,"2019-07-18 19:15:20"
4830,Observation,"1981-10-31 12:00:00",Wetland,"41.09317443, -86.93979938",IN,"Point count","GNR LOC OF MAIN ROOST",9284,admin,"2019-07-18 19:15:20"
4831,Observation,"1981-10-31 12:00:00",Wetland,"42.253, -84.311",MI,"Point count","CNT PNT OF SANCTUARY",760,admin,"2019-07-18 19:15:20"
4832,Observation,"1981-10-31 12:00:00",Wetland,"42.37, -85.004",MI,"Point count","GNR LOC OF ROOST",245,admin,"2019-07-18 19:15:20"
4833,Observation,"1981-10-31 12:00:00",Wetland,"43.684, -86.1",MI,"Point count",.,16,admin,"2019-07-18 19:15:20"
4834,Observation,"1981-10-31 12:00:00",Wetland,"44.07719404, -90.1055017",WI,"Point count","GNR LOC OF ROOST",174,admin,"2019-07-18 19:15:20"
4835,Observation,"1981-10-31 12:00:00",Wetland,"44.30821248, -90.49066331",WI,"Point count",.,25,admin,"2019-07-18 19:15:20"
4836,Observation,"1981-10-31 12:00:00",Wetland,"44.38999151, -90.13463546",WI,"Point count","GNR LOC OF ROOST",754,admin,"2019-07-18 19:15:20"
4837,Observation,"1981-10-31 12:00:00",Wetland,"44.42189975, -90.35050248",WI,"Point count",.,72,admin,"2019-07-18 19:15:20"
4838,Observation,"1981-10-31 12:00:00",Wetland,"44.464, -90.618",WI,"Point count",.,49,admin,"2019-07-18 19:15:20"
4839,Observation,"1981-10-31 12:00:00",Wetland,"45.94893, -92.31816526",WI,"Point count",.,257,admin,"2019-07-18 19:15:20"
4840,Observation,"1982-10-31 12:00:00",Wetland,"27.68677143, -80.88433909",FL,"Point count",.,8,admin,"2019-07-18 19:15:20"
4841,Observation,"1982-10-31 12:00:00",Wetland,"27.91898309, -81.13653889",FL,"Point count",.,17,admin,"2019-07-18 19:15:20"
4842,Observation,"1982-10-31 12:00:00",Wetland,"28.24894548, -81.27809299",FL,"Point count",.,17,admin,"2019-07-18 19:15:20"
4843,Observation,"1982-10-31 12:00:00",Wetland,"28.90587497, -81.80119536",FL,"Point count",.,42,admin,"2019-07-18 19:15:20"
4844,Observation,"1982-10-31 12:00:00",Wetland,"29.4618494, -82.15412215",FL,"Point count",.,9,admin,"2019-07-18 19:15:20"
4845,Observation,"1982-10-31 12:00:00",Wetland,"29.52252142, -82.35204324",FL,"Point count",.,20,admin,"2019-07-18 19:15:20"
4846,Observation,"1982-10-31 12:00:00",Wetland,"29.58937034, -82.33937287",FL,"Point count",.,5,admin,"2019-07-18 19:15:20"
4847,Observation,"1982-10-31 12:00:00",Wetland,"29.60919692, -82.28689768",FL,"Point count",.,56,admin,"2019-07-18 19:15:20"
4848,Observation,"1982-10-31 12:00:00",Wetland,"31.80443602, -83.24722514",GA,"Point count",.,10,admin,"2019-07-18 19:15:20"
4849,Observation,"1982-10-31 12:00:00",Wetland,"32.84184515, -83.63360655",GA,"Point count",.,50,admin,"2019-07-18 19:15:20"
4850,Observation,"1982-10-31 12:00:00",Wetland,"33.11690582, -83.70012763",GA,"Point count",.,30,admin,"2019-07-18 19:15:20"
4851,Observation,"1982-10-31 12:00:00",Wetland,"41.09617443, -86.94279938",IN,"Point count","GNR LOC OF MAIN ROOST",10306,admin,"2019-07-18 19:15:20"
4852,Observation,"1982-10-31 12:00:00",Wetland,"42.254, -84.312",MI,"Point count","CNT PNT OF SANCTUARY",831,admin,"2019-07-18 19:15:20"
4853,Observation,"1982-10-31 12:00:00",Wetland,"42.371, -85.005",MI,"Point count","GNR LOC OF ROOST",286,admin,"2019-07-18 19:15:20"
4854,Observation,"1982-10-31 12:00:00",Wetland,"42.456546, -84.080245",MI,"Point count",.,409,admin,"2019-07-18 19:15:20"
4855,Observation,"1982-10-31 12:00:00",Wetland,"43.87225147, -89.11995346",WI,"Point count",.,63,admin,"2019-07-18 19:15:20"
4856,Observation,"1982-10-31 12:00:00",Wetland,"43.91620544, -89.08309125",WI,"Point count",.,100,admin,"2019-07-18 19:15:20"
4857,Observation,"1982-10-31 12:00:00",Wetland,"43.97613269, -89.41474126",WI,"Point count",.,2,admin,"2019-07-18 19:15:20"
4858,Observation,"1982-10-31 12:00:00",Wetland,"43.97839785, -90.50522043",WI,"Point count",.,4,admin,"2019-07-18 19:15:20"
4859,Observation,"1982-10-31 12:00:00",Wetland,"44.07619404, -90.1065017",WI,"Point count","GNR LOC OF ROOST",119,admin,"2019-07-18 19:15:20"
4860,Observation,"1982-10-31 12:00:00",Wetland,"44.19778029, -89.65855192",WI,"Point count",.,100,admin,"2019-07-18 19:15:20"
4861,Observation,"1982-10-31 12:00:00",Wetland,"44.29585378, -90.63144046",WI,"Point count",.,123,admin,"2019-07-18 19:15:20"
4862,Observation,"1982-10-31 12:00:00",Wetland,"44.3524575, -90.32585814",WI,"Point count",.,52,admin,"2019-07-18 19:15:20"
4863,Observation,"1982-10-31 12:00:00",Wetland,"44.38899151, -90.13563546",WI,"Point count","GNR LOC OF ROOST",800,admin,"2019-07-18 19:15:20"
4864,Observation,"1982-10-31 12:00:00",Wetland,"44.42398307, -90.16184793",WI,"Point count",.,9,admin,"2019-07-18 19:15:20"
4865,Observation,"1982-10-31 12:00:00",Wetland,"44.44420469, -90.44004068",WI,"Point count",.,50,admin,"2019-07-18 19:15:20"
4866,Observation,"1982-10-31 12:00:00",Wetland,"45.94593, -92.32116526",WI,"Point count",.,361,admin,"2019-07-18 19:15:20"
4867,Observation,"1983-10-31 12:00:00",Wetland,"27.68177143, -80.88933909",FL,"Point count",.,10,admin,"2019-07-18 19:15:20"
4868,Observation,"1983-10-31 12:00:00",Wetland,"27.91398309, -81.14153889",FL,"Point count",.,15,admin,"2019-07-18 19:15:20"
4869,Observation,"1983-10-31 12:00:00",Wetland,"28.0921785, -80.89836591",FL,"Point count",.,12,admin,"2019-07-18 19:15:20"
4870,Observation,"1983-10-31 12:00:00",Wetland,"28.24394548, -81.28309299",FL,"Point count",.,6,admin,"2019-07-18 19:15:20"
4871,Observation,"1983-10-31 12:00:00",Wetland,"28.29881215, -81.23308743",FL,"Point count",.,8,admin,"2019-07-18 19:15:20"
4872,Observation,"1983-10-31 12:00:00",Wetland,"28.91087497, -81.80619536",FL,"Point count",.,255,admin,"2019-07-18 19:15:20"
4873,Observation,"1983-10-31 12:00:00",Wetland,"29.4618494, -82.14912215",FL,"Point count",.,12,admin,"2019-07-18 19:15:20"
4874,Observation,"1983-10-31 12:00:00",Wetland,"29.51752142, -82.35704324",FL,"Point count",.,12,admin,"2019-07-18 19:15:20"
4875,Observation,"1983-10-31 12:00:00",Wetland,"29.61419692, -82.28189768",FL,"Point count",.,115,admin,"2019-07-18 19:15:20"
4876,Observation,"1983-10-31 12:00:00",Wetland,"30.79015611, -82.29545148",GA,"Ground count",.,44,admin,"2019-07-18 19:15:20"
4877,Observation,"1983-10-31 12:00:00",Wetland,"41.09917443, -86.93979938",IN,"Point count","GNR LOC OF MAIN ROOST",11048,admin,"2019-07-18 19:15:20"
4878,Observation,"1983-10-31 12:00:00",Wetland,"42.255, -84.311",MI,"Point count","CNT PNT OF SANCTUARY",1376,admin,"2019-07-18 19:15:20"
4879,Observation,"1983-10-31 12:00:00",Wetland,"42.372, -85.004",MI,"Point count","GNR LOC OF ROOST",332,admin,"2019-07-18 19:15:20"
4880,Observation,"1983-10-31 12:00:00",Wetland,"43.818, -89.393",WI,"Point count",.,53,admin,"2019-07-18 19:15:20"
4881,Observation,"1983-10-31 12:00:00",Wetland,"44.07519404, -90.1055017",WI,"Point count","GNR LOC OF ROOST",291,admin,"2019-07-18 19:15:20"
4882,Observation,"1983-10-31 12:00:00",Wetland,"44.3524575, -90.32485814",WI,"Point count",.,11,admin,"2019-07-18 19:15:20"
4883,Observation,"1983-10-31 12:00:00",Wetland,"44.38799151, -90.13463546",WI,"Point count","GNR LOC OF ROOST",2166,admin,"2019-07-18 19:15:20"
4884,Observation,"1983-10-31 12:00:00",Wetland,"44.44420469, -90.43904068",WI,"Point count",.,92,admin,"2019-07-18 19:15:20"
4885,Observation,"1983-10-31 12:00:00",Wetland,"45.94293, -92.31816526",WI,"Point count",.,290,admin,"2019-07-18 19:15:20"
4886,Observation,"1984-10-31 12:00:00",Wetland,"27.68677143, -80.89433909",FL,"Point count",.,7,admin,"2019-07-18 19:15:20"
4887,Observation,"1984-10-31 12:00:00",Wetland,"27.91898309, -81.14153889",FL,"Point count",.,13,admin,"2019-07-18 19:15:20"
4888,Observation,"1984-10-31 12:00:00",Wetland,"28.24894548, -81.28309299",FL,"Point count",.,2,admin,"2019-07-18 19:15:20"
4889,Observation,"1984-10-31 12:00:00",Wetland,"28.29881215, -81.23808743",FL,"Point count",.,3,admin,"2019-07-18 19:15:20"
4890,Observation,"1984-10-31 12:00:00",Wetland,"28.91587497, -81.80119536",FL,"Point count",.,70,admin,"2019-07-18 19:15:20"
4891,Observation,"1984-10-31 12:00:00",Wetland,"29.48469376, -82.28929359",FL,"Point count",.,23,admin,"2019-07-18 19:15:20"
4892,Observation,"1984-10-31 12:00:00",Wetland,"30.79515611, -82.29045148",GA,"Ground count",.,35,admin,"2019-07-18 19:15:20"
4893,Observation,"1984-10-31 12:00:00",Wetland,"39.05711463, -86.41650456",IN,"Point count",.,25,admin,"2019-07-18 19:15:20"
4894,Observation,"1984-10-31 12:00:00",Wetland,"41.09917443, -86.94279938",IN,"Point count","GNR LOC OF MAIN ROOST",11452,admin,"2019-07-18 19:15:20"
4895,Observation,"1984-10-31 12:00:00",Wetland,"42.253, -84.31",MI,"Point count","CNT PNT OF SANCTUARY",1257,admin,"2019-07-18 19:15:20"
4896,Observation,"1984-10-31 12:00:00",Wetland,"42.37, -85.003",MI,"Point count","GNR LOC OF ROOST",490,admin,"2019-07-18 19:15:20"
4897,Observation,"1984-10-31 12:00:00",Wetland,"43.819, -89.393",WI,"Point count",.,172,admin,"2019-07-18 19:15:20"
4898,Observation,"1984-10-31 12:00:00",Wetland,"43.9348447, -89.24833721",WI,"Point count",.,190,admin,"2019-07-18 19:15:20"
4899,Observation,"1984-10-31 12:00:00",Wetland,"44.022, -89.423",WI,"Point count",.,162,admin,"2019-07-18 19:15:20"
4900,Observation,"1984-10-31 12:00:00",Wetland,"44.07719404, -90.1065017",WI,"Point count","GNR LOC OF ROOST",200,admin,"2019-07-18 19:15:20"
4901,Observation,"1984-10-31 12:00:00",Wetland,"44.29585378, -90.63044046",WI,"Point count",.,3,admin,"2019-07-18 19:15:20"
4902,Observation,"1984-10-31 12:00:00",Wetland,"44.38999151, -90.13563546",WI,"Point count","GNR LOC OF ROOST",1699,admin,"2019-07-18 19:15:20"
4903,Observation,"1984-10-31 12:00:00",Wetland,"45.94893, -92.32116526",WI,"Point count",.,560,admin,"2019-07-18 19:15:20"
4904,Observation,"1985-10-31 12:00:00",Wetland,"28.91587497, -81.80619536",FL,"Point count",.,162,admin,"2019-07-18 19:15:20"
4905,Observation,"1985-10-31 12:00:00",Wetland,"29.02986951, -81.3023008",FL,"Point count",.,3,admin,"2019-07-18 19:15:20"
4906,Observation,"1985-10-31 12:00:00",Wetland,"29.61419692, -82.28689768",FL,"Point count",.,35,admin,"2019-07-18 19:15:20"
4907,Observation,"1985-10-31 12:00:00",Wetland,"30.79515611, -82.29545148",GA,"Ground count",.,25,admin,"2019-07-18 19:15:20"
4908,Observation,"1985-10-31 12:00:00",Wetland,"35.15275252, -85.06798839",TN,"Point count",.,17,admin,"2019-07-18 19:15:20"
4909,Observation,"1985-10-31 12:00:00",Wetland,"41.09317443, -86.93679938",IN,"Point count","GNR LOC OF MAIN ROOST",11452,admin,"2019-07-18 19:15:20"
4910,Observation,"1985-10-31 12:00:00",Wetland,"42.255, -84.312",MI,"Point count","CNT PNT OF SANCTUARY",1206,admin,"2019-07-18 19:15:20"
4911,Observation,"1985-10-31 12:00:00",Wetland,"42.372, -85.005",MI,"Point count","GNR LOC OF ROOST",428,admin,"2019-07-18 19:15:20"
4912,Observation,"1985-10-31 12:00:00",Wetland,"43.721, -89.218",WI,"Point count",.,28,admin,"2019-07-18 19:15:20"
4913,Observation,"1985-10-31 12:00:00",Wetland,"44.07519404, -90.1045017",WI,"Point count","GNR LOC OF ROOST",609,admin,"2019-07-18 19:15:20"
4914,Observation,"1985-10-31 12:00:00",Wetland,"44.092412, -89.66484575",WI,"Point count",.,2,admin,"2019-07-18 19:15:20"
4915,Observation,"1985-10-31 12:00:00",Wetland,"44.38799151, -90.13363546",WI,"Point count","GNR LOC OF ROOST",1409,admin,"2019-07-18 19:15:20"
4916,Observation,"1985-10-31 12:00:00",Wetland,"45.94293, -92.31516526",WI,"Point count",.,794,admin,"2019-07-18 19:15:20"
4917,Observation,"1986-10-31 12:00:00",Wetland,"30.78515611, -82.28545148",GA,"Ground count",.,20,admin,"2019-07-18 19:15:20"
4918,Observation,"1986-10-31 12:00:00",Wetland,"39.05711463, -86.41350456",IN,"Point count",.,580,admin,"2019-07-18 19:15:20"
4919,Observation,"1986-10-31 12:00:00",Wetland,"41.09617443, -86.93479938",IN,"Point count","GNR LOC OF MAIN ROOST",11394,admin,"2019-07-18 19:15:20"
4920,Observation,"1986-10-31 12:00:00",Wetland,"42.254, -84.308",MI,"Point count","CNT PNT OF SANCTUARY",1583,admin,"2019-07-18 19:15:20"
4921,Observation,"1986-10-31 12:00:00",Wetland,"42.371, -85.001",MI,"Point count","GNR LOC OF ROOST",545,admin,"2019-07-18 19:15:20"
4922,Observation,"1986-10-31 12:00:00",Wetland,"42.813, -84.425",MI,"Point count",.,1,admin,"2019-07-18 19:15:20"
4923,Observation,"1986-10-31 12:00:00",Wetland,"43.71809992, -89.45652193",WI,"Point count",.,83,admin,"2019-07-18 19:15:20"
4924,Observation,"1986-10-31 12:00:00",Wetland,"43.818, -89.392",WI,"Point count",.,84,admin,"2019-07-18 19:15:20"
4925,Observation,"1986-10-31 12:00:00",Wetland,"43.91720544, -89.08309125",WI,"Point count",.,8,admin,"2019-07-18 19:15:20"
4926,Observation,"1986-10-31 12:00:00",Wetland,"43.9338447, -89.24933721",WI,"Point count",.,32,admin,"2019-07-18 19:15:20"
4927,Observation,"1986-10-31 12:00:00",Wetland,"44.07619404, -90.1025017",WI,"Point count","GNR LOC OF ROOST",440,admin,"2019-07-18 19:15:20"
4928,Observation,"1986-10-31 12:00:00",Wetland,"44.092412, -89.66384575",WI,"Point count",.,169,admin,"2019-07-18 19:15:20"
4929,Observation,"1986-10-31 12:00:00",Wetland,"44.15101918, -88.96074251",WI,"Point count",.,1,admin,"2019-07-18 19:15:20"
4930,Observation,"1986-10-31 12:00:00",Wetland,"44.32, -89.629",WI,"Point count",.,13,admin,"2019-07-18 19:15:20"
4931,Observation,"1986-10-31 12:00:00",Wetland,"44.38899151, -90.13163546",WI,"Point count","GNR LOC OF ROOST",1250,admin,"2019-07-18 19:15:20"
4932,Observation,"1986-10-31 12:00:00",Wetland,"44.44520469, -90.44004068",WI,"Point count",.,104,admin,"2019-07-18 19:15:20"
4933,Observation,"1986-10-31 12:00:00",Wetland,"44.68740974, -88.46530361",WI,"Point count",.,16,admin,"2019-07-18 19:15:20"
4934,Observation,"1986-10-31 12:00:00",Wetland,"45.94593, -92.31316526",WI,"Point count",.,720,admin,"2019-07-18 19:15:20"
4935,Observation,"1987-10-31 12:00:00",Wetland,"28.8092295, -81.88073932",FL,"Point count",.,192,admin,"2019-07-18 19:15:20"
4936,Observation,"1987-10-31 12:00:00",Wetland,"28.90587497, -81.79619536",FL,"Point count",.,52,admin,"2019-07-18 19:15:20"
4937,Observation,"1987-10-31 12:00:00",Wetland,"28.916734, -81.71201137",FL,"Point count",.,35,admin,"2019-07-18 19:15:20"
4938,Observation,"1987-10-31 12:00:00",Wetland,"29.10196659, -81.92729535",FL,"Point count",.,40,admin,"2019-07-18 19:15:20"
4939,Observation,"1987-10-31 12:00:00",Wetland,"29.29683123, -82.04019659",FL,"Point count",.,20,admin,"2019-07-18 19:15:20"
4940,Observation,"1987-10-31 12:00:00",Wetland,"29.52252142, -82.36204324",FL,"Point count",.,25,admin,"2019-07-18 19:15:20"
4941,Observation,"1987-10-31 12:00:00",Wetland,"29.60419692, -82.27689768",FL,"Point count",.,35,admin,"2019-07-18 19:15:20"
4942,Observation,"1987-10-31 12:00:00",Wetland,"30.79015611, -82.28345148",GA,"Ground count",.,25,admin,"2019-07-18 19:15:20"
4943,Observation,"1987-10-31 12:00:00",Wetland,"32.5448179, -83.5968121",GA,"Point count",.,13,admin,"2019-07-18 19:15:20"
4944,Observation,"1987-10-31 12:00:00",Wetland,"41.09117443, -86.93979938",IN,"Point count","GNR LOC OF MAIN ROOST",13310,admin,"2019-07-18 19:15:20"
4945,Observation,"1987-10-31 12:00:00",Wetland,"42.257, -84.311",MI,"Point count","CNT PNT OF SANCTUARY",2311,admin,"2019-07-18 19:15:20"
4946,Observation,"1987-10-31 12:00:00",Wetland,"42.374, -85.004",MI,"Point count","GNR LOC OF ROOST",538,admin,"2019-07-18 19:15:20"
4947,Observation,"1987-10-31 12:00:00",Wetland,"43.684, -86.099",MI,"Point count",.,57,admin,"2019-07-18 19:15:20"
4948,Observation,"1987-10-31 12:00:00",Wetland,"43.71709992, -89.45552193",WI,"Point count",.,314,admin,"2019-07-18 19:15:20"
4949,Observation,"1987-10-31 12:00:00",Wetland,"43.817, -89.393",WI,"Point count",.,81,admin,"2019-07-18 19:15:20"
4950,Observation,"1987-10-31 12:00:00",Wetland,"43.86126755, -89.03563813",WI,"Point count",.,102,admin,"2019-07-18 19:15:20"
4951,Observation,"1987-10-31 12:00:00",Wetland,"43.91620544, -89.08209125",WI,"Point count",.,85,admin,"2019-07-18 19:15:20"
4952,Observation,"1987-10-31 12:00:00",Wetland,"43.9348447, -89.25033721",WI,"Point count",.,987,admin,"2019-07-18 19:15:20"
4953,Observation,"1987-10-31 12:00:00",Wetland,"43.97613269, -89.41374126",WI,"Point count",.,266,admin,"2019-07-18 19:15:20"
4954,Observation,"1987-10-31 12:00:00",Wetland,"44.02225028, -89.43362707",WI,"Point count",.,70,admin,"2019-07-18 19:15:20"
4955,Observation,"1987-10-31 12:00:00",Wetland,"44.075, -89.287",WI,"Point count",.,67,admin,"2019-07-18 19:15:20"
4956,Observation,"1987-10-31 12:00:00",Wetland,"44.07919404, -90.1055017",WI,"Point count","GNR LOC OF ROOST",710,admin,"2019-07-18 19:15:20"
4957,Observation,"1987-10-31 12:00:00",Wetland,"44.09, -88.895",WI,"Point count",.,32,admin,"2019-07-18 19:15:20"
4958,Observation,"1987-10-31 12:00:00",Wetland,"44.093412, -89.66484575",WI,"Point count",.,157,admin,"2019-07-18 19:15:20"
4959,Observation,"1987-10-31 12:00:00",Wetland,"44.29685378, -90.63144046",WI,"Point count",.,44,admin,"2019-07-18 19:15:20"
4960,Observation,"1987-10-31 12:00:00",Wetland,"44.39199151, -90.13463546",WI,"Point count","GNR LOC OF ROOST",1641,admin,"2019-07-18 19:15:20"
4961,Observation,"1987-10-31 12:00:00",Wetland,"45.79171249, -92.58546452",WI,"Point count","GNR LOC OF FISH LAKE WA",740,admin,"2019-07-18 19:15:20"
4962,Observation,"1987-10-31 12:00:00",Wetland,"45.95093, -92.31816526",WI,"Point count",.,393,admin,"2019-07-18 19:15:20"
4963,Observation,"1988-10-31 12:00:00",Wetland,"28.91087497, -81.79419536",FL,"Point count",.,115,admin,"2019-07-18 19:15:20"
4964,Observation,"1988-10-31 12:00:00",Wetland,"29.29683123, -82.03519659",FL,"Point count",.,15,admin,"2019-07-18 19:15:20"
4965,Observation,"1988-10-31 12:00:00",Wetland,"29.52752142, -82.35704324",FL,"Point count",.,40,admin,"2019-07-18 19:15:20"
4966,Observation,"1988-10-31 12:00:00",Wetland,"39.05411463, -86.41650456",IN,"Point count",.,660,admin,"2019-07-18 19:15:20"
4967,Observation,"1988-10-31 12:00:00",Wetland,"41.09617443, -86.94479938",IN,"Point count","GNR LOC OF MAIN ROOST",14140,admin,"2019-07-18 19:15:20"
4968,Observation,"1988-10-31 12:00:00",Wetland,"42.254, -84.314",MI,"Point count","CNT PNT OF SANCTUARY",2497,admin,"2019-07-18 19:15:20"
4969,Observation,"1988-10-31 12:00:00",Wetland,"42.371, -85.007",MI,"Point count","GNR LOC OF ROOST",836,admin,"2019-07-18 19:15:20"
4970,Observation,"1988-10-31 12:00:00",Wetland,"42.813, -84.424",MI,"Point count",.,2,admin,"2019-07-18 19:15:20"
4971,Observation,"1988-10-31 12:00:00",Wetland,"43.71677027, -89.5083074",WI,"Point count",.,184,admin,"2019-07-18 19:15:20"
4972,Observation,"1988-10-31 12:00:00",Wetland,"43.86126755, -89.03463813",WI,"Point count",.,35,admin,"2019-07-18 19:15:20"
4973,Observation,"1988-10-31 12:00:00",Wetland,"43.91520544, -89.08309125",WI,"Point count",.,278,admin,"2019-07-18 19:15:20"
4974,Observation,"1988-10-31 12:00:00",Wetland,"43.9358447, -89.25033721",WI,"Point count",.,1020,admin,"2019-07-18 19:15:20"
4975,Observation,"1988-10-31 12:00:00",Wetland,"43.97713269, -89.41474126",WI,"Point count",.,250,admin,"2019-07-18 19:15:20"
4976,Observation,"1988-10-31 12:00:00",Wetland,"44.075, -89.286",WI,"Point count",.,1432,admin,"2019-07-18 19:15:20"
4977,Observation,"1988-10-31 12:00:00",Wetland,"44.07619404, -90.1085017",WI,"Point count","GNR LOC OF ROOST",488,admin,"2019-07-18 19:15:20"
