"FILE_ID","FILE_NAME","BIRD_COUNT","PLUMAGE","POSITION","updated_by","updated_on","created_by","created_on"
49,CAGO_flk_MJP_6402_n=1031_Uniform_Slide_1820x810.jpg,1031,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
50,CAGO_flk_MJP_6403_n=1058_Uniform_Slide_1820x810.jpg,1058,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
51,CAGO_flk_MJP_6383_n=64_Uniform_Static_1200x800.jpg,64,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
52,CAGO_flk_MJP_6384_n=65_Uniform_Static_1200x800.jpg,65,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
53,CAGO_flk_MJP_6385_n=65_Uniform_Slide_1820x810.jpg,65,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
54,CAGO_flk_MJP_6385_n=136_Uniform_Slide_1820x810.jpg,136,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
55,CAGO_flk_MJP_6392_n=183_Uniform_Slide_1820x810.jpg,183,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
56,CAGO_flk_MJP_6403_n=1108_Uniform_Slide_1820x810.jpg,1108,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
57,CAGO_flk_MJP_6406_n=33_Uniform_Slide_1820x810.jpg,33,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
58,CAGO_flk_MJP_6412_n=33_Uniform_Slide_1820x810.jpg,33,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
59,CAGO_flk_MJP_6408_n=32_Uniform_Slide_1820x810.jpg,32,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
60,CAGO_flk_MJP_6414_n=51_Uniform_Slide_1820x810.jpg,51,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
61,CAGO_flk_MJP_6426_n=263_Uniform_Slide_1820x810.jpg,263,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
62,CAGO_flk_MJP_6430_n=239_Uniform_Slide_1820x810.jpg,239,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
63,CAGO_flk_MJP_6431_n=228_Uniform_Slide_1820x810.jpg,228,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
64,CAGO_flk_MJP_6434_n=101_Uniform_Slide_1820x810.jpg,101,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
65,CAGO_flk_MJP_6435_n=118_Uniform_Static_1200x800.jpg,118,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
66,CAGO_flk_MJP_6438_n=685_Uniform_Slide_1820x810.jpg,685,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
67,CAGO_flk_MJP_6440_n=741_Uniform_Slide_1820x810.jpg,741,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
68,CAGO_flk_MJP_6442_n=776_Uniform_Slide_1820x810.jpg,776,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
69,CAGO_flk_MV_5574_n=118_Uniform_Static_1200x800.jpg,118,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
70,CAGO_flk_MV_5611_n=306_Uniform_Slide_1820x810.jpg,306,uniform,Slide,bhuvan_adhikari@fws.gov,2022-01-16 13:28:00.000,bhuvan_adhikari@fws.gov,2022-01-16 13:30:00.000
71,CAGO_flk_MV_5616_n=838_Uniform_Static_1200x800.jpg,838,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
72,CDUX_flk_FB_013_n=1447_uniform_Static_1200x800.jpg,1447,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
73,CDUX_flk_FB_041_n=836_uniform_Slide_1820x810.jpg,836,uniform,Slide,bhuvan_adhikari@fws.gov,2022-01-16 13:28:00.000,bhuvan_adhikari@fws.gov,2022-01-16 13:30:00.000
74,CDUX_flk_FB_066_n=61_uniform_Slide_1820x810.jpg,61,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
75,CDUX_flk_FB_095_n=87_uniform_Slide_1820x810.jpg,87,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
76,CDUX_flk_FB_105_n=145_uniform_Slide_1820x810.jpg,145,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
77,CDUX_flk_FB_109_n=2494_uniform_Slide_1820x810.jpg,2494,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
78,CDUX_flk_FB_112_n=1375_uniform_Slide_1820x810.jpg,1375,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
79,CDUX_flk_FB_113_n=867_uniform_Slide_1820x810.jpg,867,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
80,CDUX_flk_FB_166_n=157_uniform_Slide_1820x810.jpg,157,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
81,CDUX_flk_FB_213_n=1090_uniform_Slide_1820x810.jpg,1090,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
82,CDUX_flk_FB_232_n=2846_uniform_Static_1200x800.jpg,2846,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.397,nandi_xie@fws.gov,2015-05-11 08:14:13.397
83,CDUX_flk_FB_241_n=810_uniform_Static_1200x800.jpg,810,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
84,CDUX_flk_FB_242_n=557_uniform_Slide_1820x810.jpg,557,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
85,CDUX_flk_FB_257_n=5332_uniform_Static_1200x800.jpg,5332,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
86,CDUX_flk_FB_258_n=4006_uniform_Static_1200x800.jpg,4006,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
87,CDUX_flk_FB_270_n=3652_uniform_Slide_1820x810.jpg,3652,uniform,Slide,bhuvan_adhikari@fws.gov,2022-01-16 13:28:00.000,bhuvan_adhikari@fws.gov,2022-01-16 13:30:00.000
88,CDUX_flk_FB_288_n=4526_uniform_Static_1200x800.jpg,4526,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
89,CDUX_flk_FB_289_n=4351_uniform_Static_1200x800.jpg,4351,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
90,CDUX_flk_FB_291_n=606_uniform_Slide_1820x810.jpg,606,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
91,CDUX_flk_FB_295_n=1136_uniform_Static_1200x800.jpg,1136,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
92,CDUX_flk_FB_297_n=539_uniform_Slide_1820x810.jpg,539,uniform,Slide,bhuvan_adhikari@fws.gov,2022-01-16 13:28:00.000,bhuvan_adhikari@fws.gov,2022-01-16 13:30:00.000
93,CDUX_flk_FB_323_n=63_uniform_Slide_1820x810.jpg,63,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
94,CDUX_flk_FB_324_n=87_uniform_Slide_1820x810.jpg,87,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
95,CDUX_flk_FB_325_n=37_uniform_Slide_1820x810.jpg,37,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
96,CDUX_flk_FB_360_n=213_uniform_Slide_1820x810.jpg,213,uniform,Slide,bhuvan_adhikari@fws.gov,2022-01-16 13:28:00.000,bhuvan_adhikari@fws.gov,2022-01-16 13:30:00.000
97,CDUX_flk_FB_373_n=529_uniform_Slide_1820x810.jpg,529,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
98,CDUX_flk_FB_373a_n=699_uniform_Slide_1820x810.jpg,699,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
99,CDUX_flk_FB_386_n=63_uniform_Slide_1820x810.jpg,63,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
100,CDUX_flk_FB_407_n=998_uniform_Slide_1820x810.jpg,998,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
101,CDUX_flk_FB_1578_n=67_uniform_Slide_1820x810.jpg,67,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.410,nandi_xie@fws.gov,2015-05-11 08:14:13.410
102,CDUX_flk_FB_1676_n=138_uniform_Slide_1820x810.jpg,138,uniform,Slide,bhuvan_adhikari@fws.gov,2022-01-16 13:28:00.000,bhuvan_adhikari@fws.gov,2022-01-16 13:30:00.000
103,COEI_flk_CLepage_8762_n=371_Dimorphic_Static_1200x800.jpg,371,dimorphic,static,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
104,COEI_flk_swim_CL_8475_n=92_uniform_Slide_1820x810.jpg,92,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
105,COEI_flk_swim_CL_8475_n=133_dimorphic_Slide_1820x810.jpg,133,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
106,COEI_flk_swim_CL_8662_n=230_dimorphic_Slide_1820x810.jpg,230,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
107,CORM_flk_FB_1653_n=233_uniform_Slide_1820x810.jpg,233,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
108,DUCK_flk_DKM_4450_n=62_uniform_Slide_1820x810.jpg,62,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
109,DUCK_flk_DKM_4452_n=67_Uniform_Slide_1820x810.jpg,67,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
110,DUCK_flk_DKM_4461_n=34_Uniform_Slide_1820x810.jpg,34,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
111,DUCK_flk_fly_TDB_7964a_n=80_Uniform_Slide_1820x810.jpg,80,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
112,DUCK_flk_swim_TDB_7934_n=283_Uniform_Slide_1820x810.jpg,283,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
113,DUCK_flk_swim_TDB_7976_n=39_Uniform_Slide_1820x810.jpg,39,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
114,DUCK_flk_swim_TDB_7976a_n=74_Dimorphic_Slide_1820x810.jpg,74,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
115,DUCK_flk_swim_TDB_8001_n=89_Uniform_Slide_1820x810.jpg,89,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
116,DUCK_flk_swim_TDB_8001a_n=126_Uniform_Slide_1820x810.jpg,126,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
117,STEI_flk_WWL_n=94_Dimorphic_Slide_1820x810.jpg,94,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
118,STEI_flk_WWL_n=274_Dimorphic_Slide_1820x810.jpg,274,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
119,STEI_flk_WWL_n=235_Dimorphic_Slide_1820x810.jpg,235,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
120,STEI_flk_WWL_n=394_Dimorphic_Slide_1820x810.jpg,394,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
121,STEI_flk_WWL_n=509_Dimorphic_Slide_1820x810.jpg,509,dimorphic,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
122,SCOT_flk_SSB_3792_n=141_Uniform_Slide_1820x810.jpg,141,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
123,SCOT_flk_SSB_3790_n=307_Uniform_Slide_1820x810.jpg,307,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
124,SCOT_flk_SSB_3770_n=216_Uniform_Slide_1820x810.jpg,216,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.427,nandi_xie@fws.gov,2015-05-11 08:14:13.427
125,SCOT_flk_SSB_3764_n=79_Uniform_Slide_1820x810.jpg,79,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
126,SCOT_flk_SSB_3753_n=133_Uniform_Slide_1820x810.jpg,133,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
127,SCOT_flk_SSB_3753a_n=175_Uniform_Slide_1820x810.jpg,175,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
128,SCOT_flk_SSB_3726a_n=196_Uniform_Slide_1820x810.jpg,196,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
129,SCOT_flk_SSB_3726_n=161_Uniform_Slide_1820x810.jpg,161,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
130,SCOT_flk_SSB_3716_n=722_Uniform_Slide_1820x810.jpg,722,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
131,SCOT_flk_SSB_3713_n=458_Uniform_Slide_1820x810.jpg,458,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
132,SCOT_flk_SSB_3701_n=439_Uniform_Slide_1820x810.jpg,439,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
133,SCOT_flk_SSB_3684a_n=65_Uniform_Slide_1820x810.jpg,65,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.443,nandi_xie@fws.gov,2015-05-11 08:14:13.443
