"MLog","EntryDate","RelDate","RelSite","State","County","City","Waterway","Photos","FormComplete","CondStop","BottomFeed","NatVeg","VegType","MonthsVeg","ExpWater","DisplayType","RelType","MonthsExpWater","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","Status","CreateBy","CreateDate","UpdateBy","UpdateDate"
460,2011-02-06 12:59:43.007,2011-02-15 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. Johns River,1,1,0,1,,Hydrilla,,1,F,F,>12,sgearhart,657,N,2011-01-25 00:00:00.000,307,N,2011-01-25 00:00:00.000,,SWF,1,bwagoner,2011-02-06 12:59:43.007,bwagoner,2011-02-16 16:28:43.283
461,2010-02-14 21:53:55.253,2010-02-15 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange ,St. John's River,1,1,1,1,1,hydrilla / hyacinth,"04",1,F,F,>12,dmurphy,653,N,2010-02-04 00:00:00.000,307,N,2010-02-04 00:00:00.000,"Post Release Monitoring, Sea to Shore Alliance, Monica Ross",LPZ,1,vedmonds,2010-02-14 21:53:55.253,vedmonds,2010-02-18 20:56:13.850
461,2013-02-05 10:16:10.040,2013-02-06 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. Johns River (BSSP),1,1,0,1,,,,1,F,F,,sgearhart,507,N,2013-01-22 00:00:00.000,292,N,2012-07-20 00:00:00.000,"This is the second release attempt for Slip, he was rescued back on Jan. 4, 2012, from Lake Crescent. The animal was in shallow water, staying in the same area and not responding to anything. Slip will be tagged and tracked again.",SWF,1,bwagoner,2013-02-05 10:16:10.040,bwagoner,2013-02-07 04:09:14.310
569,2011-03-16 12:25:39.747,2011-09-01 00:00:00.000,In seapen at Puntas Salinas,PR,Punta Slainas,Toa Baja,Ensenada Boca Vieja,0,0,0,1,1,wild local veg,"04",1,F,B,"04",ariveraguz,213,Y,2010-08-06 00:00:00.000,233,Y,2010-08-06 00:00:00.000,"Tuque was in the seapen on April 2010 & free w/radio transmitter after hurricane Earl on 30 August 2010. He was retagged on 31 August 2010 with a UHF/VHF. While technically free (seapen was open), he remained in the seapen until 1 Sept 2010 & moved west ~2 mi very close to the shore. Attempts to capture him failed due to weather conditions. ",FWS,1,nadimey,2011-03-16 12:25:39.747,nadimey,2011-03-16 12:28:23.443
584,2009-09-08 10:32:37.570,2002-04-12 00:00:00.000,Merritt Island,FL,Brevard,Merritt Ilsnad,Banana River,1,1,1,,,,,0,,,,mwalsh,591,N,2002-04-12 00:00:00.000,291,N,2002-04-12 00:00:00.000,,SWF,1,nadimey,2009-09-08 10:32:37.570,nadimey,2009-09-08 10:33:24.210
594,2011-03-17 16:41:51.770,2011-03-21 00:00:00.000,KARS Park,FL,Brevard,Merritt Island,Banana River,0,0,0,1,,,,0,F,B,,sgearhart,793,N,2011-03-17 00:00:00.000,308,N,2010-10-26 00:00:00.000,"Animal still has some severe vertebral damage to tail and peduncle. She will not be belted/tagged due to tail injury. Photos will be taken day of release for Sirenia by FWC, also ultrasound fat measurements will be done by Sea 2 Shore on the day of release. Pit tags will be applied prior to release.",SWF,1,bwagoner,2011-03-17 16:41:51.770,bwagoner,2011-03-21 16:18:18.663
615,2010-02-21 11:29:46.280,2010-03-02 00:00:00.000,Lake Worth Lagoon,FL,Palm Beach,"Lake Worth, FL",Lake Worth Lagoon,1,0,0,1,,,,0,,,,sgearhart,439,N,2010-02-12 00:00:00.000,265,N,2010-01-27 00:00:00.000,"Dewey was rescued on 1/27/2010 along with her calf ""Barros"" (SWFTm1005B) both rescued due to cold stress from Vero Beach",SWF,1,bwagoner,2010-02-21 11:29:46.280,bwagoner,2010-03-02 15:00:09.117
617,2015-03-23 16:01:12.760,2015-03-19 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. John's River,1,1,1,,,,,0,,,,rball,596,N,2015-03-19 00:00:00.000,305,N,2015-03-19 00:00:00.000,,LPZ,1,vedmonds,2015-03-23 16:01:12.760,vedmonds,2015-03-23 16:28:16.953
666,2017-04-30 11:10:22.110,2017-05-09 00:00:00.000,Eckerd College Boat Ramp,FL,Pinellas,St. Petersburg,Boca Ciega Bay,0,0,0,,,,,0,,,,rball,404,N,2017-03-17 00:00:00.000,285,N,2017-03-17 00:00:00.000,,LPZ,1,vedmonds,2017-04-30 11:10:22.110,vedmonds,2017-05-09 16:38:43.363
671,2009-09-08 10:25:26.830,2003-10-30 00:00:00.000,Tampa Bay,FL,Hillsborough,Tampa Bay,Tampa Bay,1,1,1,,,,,0,,,,gmyers,391,N,2009-10-30 00:00:00.000,250,N,2009-10-30 00:00:00.000,,FWS,1,nadimey,2009-09-08 10:25:26.830,nadimey,2009-09-08 10:25:53.063
676,2015-02-01 10:36:29.843,2015-01-27 00:00:00.000,TECO Discharge canal,FL,Hillsborough,Apollo Beach,Tampa Bay,1,1,1,,,,,0,,,,rball,435,N,2015-01-23 00:00:00.000,267,N,2015-01-23 00:00:00.000,,LPZ,1,vedmonds,2015-02-01 10:36:29.843,vedmonds,2015-02-01 10:37:12.397
739,2010-03-23 14:44:34.367,2010-03-25 00:00:00.000,MacArthur Beach State Park,FL,Palm Beach,North Palm Beach,Intercoastal,1,0,0,1,1,seagrass,"03",1,B,B,>12,mrodriguez,680,Y,2010-03-22 00:00:00.000,310,N,2010-03-22 00:00:00.000,,MSQ,1,jlinvill,2010-03-23 14:44:34.367,jlinvill,2010-03-27 14:37:21.057
835,2018-01-24 09:31:48.177,2017-12-12 00:00:00.000,Blue Springs State Park,FL,Seminole,Orange,St. Johns river,1,1,1,,,,,0,,,,lcroft,522,N,2018-12-12 00:00:00.000,328,N,2018-12-12 00:00:00.000,"FWC, SWF, BSSP",SWF,1,jpeterson,2018-01-24 09:31:48.177,jpeterson,2018-01-24 09:32:37.797
835,2020-09-02 13:27:40.137,2020-09-02 00:00:00.000,BSSP,FL,Volusia,Orange City,St. John's River,0,0,0,,,,,0,,,,sdirocco,554,N,2020-09-02 00:00:00.000,311,N,2020-09-02 00:00:00.000,,SWF,1,lbraso,2020-09-02 13:27:40.137,lbraso,2020-09-02 13:28:51.577
869,2010-02-02 05:30:54.033,2009-03-04 00:00:00.000,Crystal River,FL,Citrus,Crystal River,Crystal River,0,1,0,1,,,,0,F,F,"12",sgearhart,297,N,2009-01-15 00:00:00.000,248,N,2009-01-15 00:00:00.000,,SWF,1,bwagoner,2010-02-02 05:30:54.033,bwagoner,2010-02-02 05:33:43.737
869,2010-02-10 12:49:10.077,2010-02-17 00:00:00.000,Crystal River,FL,Citrus,"Crystal River, FL",Crystal River,1,1,0,1,1,Sea grass,"01",1,F,F,>12,sgearhart,364,N,2010-01-13 00:00:00.000,255,N,2010-01-13 00:00:00.000,"This is the second time that C.C. will have been released in the Crystal River, originally released on 3/4/09 and then rescued again on 4/10/09. ",SWF,1,bwagoner,2010-02-10 12:49:10.077,bwagoner,2010-02-18 11:40:03.600
869,2011-03-06 17:19:11.067,2011-02-16 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Three Sisters Spring,1,1,1,1,1,hydrilla,>12,0,F,B,,rball,365,N,2010-01-27 00:00:00.000,263,N,2011-01-27 00:00:00.000,,LPZ,1,vedmonds,2011-03-06 17:19:11.067,vedmonds,2011-03-06 17:19:54.303
886,2009-09-08 09:43:19.407,2009-02-26 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange City,Blue Spring,1,1,1,1,1,hydrilla,"01",1,F,F,>12,sgearhart,605,N,2009-01-15 00:00:00.000,292,N,2009-01-15 00:00:00.000,,FWS,1,nadimey,2009-09-08 09:43:19.407,nadimey,2009-09-08 09:44:00.673
909,2009-08-27 15:02:11.250,2009-03-18 00:00:00.000,Coral Gables,FL,Miami/Dade,Miami,Coral Gables Waterway,1,1,0,1,1,seagrass,"01",1,B,B,>12,mrodriguez,870,N,2009-03-18 00:00:00.000,251,N,2009-03-19 00:00:00.000,,MSQ,1,jlinvill,2009-08-27 15:02:11.250,jlinvill,2009-08-27 15:03:51.940
910,2010-02-03 11:14:04.407,2010-02-08 00:00:00.000,Berkeley Canal,FL,Brevard,Satellite Beach,Banana River,0,0,0,1,1,Sea grass,"01",0,F,B,,sgearhart,375,N,2010-01-13 00:00:00.000,259,N,2010-01-13 00:00:00.000,Kennedy was released once before at Salt Springs (1/27/09)but had to come back in. He was originally rescued from the Indian River in titusville due to cold stress,SWF,1,bwagoner,2010-02-03 11:14:04.407,bwagoner,2010-02-10 11:11:41.277
915,2012-05-16 17:35:30.310,2012-05-16 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Three Sisters Spring,1,1,1,,,,,0,,,,rball,494,N,2012-05-09 00:00:00.000,292,N,2012-05-09 00:00:00.000,,LPZ,1,vedmonds,2012-05-16 17:35:30.310,vedmonds,2012-05-16 17:36:36.007
924,2010-02-24 16:30:18.107,2010-02-16 00:00:00.000,Three Sisters Springs,FL,Citrus,Crystal River,Crystal River/Kings Bay,1,1,1,1,1,"Hydrilla, Hyacinth and Najas","12",1,F,F,"12",mlowe,329,N,2010-02-16 00:00:00.000,250,N,2010-02-16 00:00:00.000,Veterinarian Dr. Mike Walsh,HSSWP,1,slowe,2010-02-24 16:30:18.107,slowe,2010-02-24 16:33:42.530
927,2012-01-26 16:55:07.280,2012-02-13 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Crystal River,1,0,1,1,1,Coontail,"03",1,F,F,>12,rball,289,N,2012-01-24 00:00:00.000,241,N,2012-01-24 00:00:00.000,,HSSWP,1,slowe,2012-01-26 16:55:07.280,slowe,2012-02-17 16:07:46.980
929,2010-02-24 16:18:49.973,2010-02-16 00:00:00.000,Three Sisters Springs,FL,Citrus,Crystal River,"Crystal River, Kings Bay",1,1,1,1,1,"Hydrilla,Hyacinth and Najas","12",1,F,F,"12",mlowe,313,N,2010-02-16 00:00:00.000,236,N,2010-02-16 00:00:00.000,Dr. Mike Walsh,HSSWP,1,slowe,2010-02-24 16:18:49.973,slowe,2010-02-24 16:23:18.447
929,2010-06-08 22:23:52.880,2010-06-09 00:00:00.000,Crystal River,FL,Citrus,Crystal River,King's Bay,1,1,1,1,1,hydrilla,"03",1,F,B,"03",gmyers,294,Y,2010-06-08 00:00:00.000,244,N,2010-05-20 00:00:00.000,,LPZ,1,vedmonds,2010-06-08 22:23:52.880,vedmonds,2010-06-22 06:59:49.583
943,2011-02-06 13:03:17.380,2011-02-17 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. Johns River,1,1,0,1,,,,1,F,F,>12,sgearhart,350,N,2011-01-18 00:00:00.000,244,N,2011-01-18 00:00:00.000,,SWF,1,bwagoner,2011-02-06 13:03:17.380,bwagoner,2011-02-16 16:31:49.340
968,2009-08-28 23:27:38.930,2009-02-27 00:00:00.000,Three Sister's Spring,FL,Citrus,Crystal River,Three Sister's Spring,1,1,1,1,1,hydrilla/water hyacinth,>12,1,F,F,>12,dmurphy,349,N,2009-05-19 00:00:00.000,250,N,2009-05-19 00:00:00.000,releasing with Baby Sister LPZ102484,LPZ,1,vedmonds,2009-08-28 23:27:38.930,vedmonds,2009-08-28 23:32:27.980
968,2010-02-14 22:01:20.807,2010-02-16 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Crystal River,1,1,1,1,1,hydrilla,"01",1,F,F,"01",dmurphy,356,N,2010-02-09 00:00:00.000,270,N,2010-02-09 00:00:00.000,"Post Release Monitoring, Sea to Shore Alliance, Buddy Powell",LPZ,1,vedmonds,2010-02-14 22:01:20.807,vedmonds,2010-02-18 21:42:56.980
968,2010-02-18 21:18:09.757,2010-02-16 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Three Sisters Spring,1,1,1,,,,,0,,,,dmurphy,356,N,2010-02-04 00:00:00.000,236,N,2010-02-04 00:00:00.000,,LPZ,1,vedmonds,2010-02-18 21:18:09.757,vedmonds,2010-02-18 21:42:56.980
969,2009-08-27 19:56:26.023,2009-02-20 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Sarasota/North Port,Salt Creek/Warm Mineral Springs,1,1,1,,,,,0,,,,dmurphy,308,N,2009-02-10 00:00:00.000,246,N,2009-02-10 00:00:00.000,plan to release with Brady (LPZ102481),LPZ,1,vedmonds,2009-08-27 19:56:26.023,vedmonds,2009-08-27 19:57:33.663
991,2009-08-27 15:36:40.043,2009-03-19 00:00:00.000,Crystal River inside National Wildlife Refuge,FL,Citrus,Crystal River,Crystal River,1,1,1,1,1,sea grass,"02",1,B,B,"02",mrodriguez,404,N,2009-01-24 00:00:00.000,289,N,2009-01-24 00:00:00.000,,MSQ,1,jlinvill,2009-08-27 15:36:40.043,jlinvill,2009-08-27 15:46:31.020
991,2010-01-16 21:04:15.247,2010-01-15 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Three Sisters Spring,1,1,1,1,1,hydrilla,"01",1,F,F,"01",dmurphy,422,N,2010-01-15 00:00:00.000,292,N,2010-01-15 00:00:00.000,,LPZ,1,vedmonds,2010-01-16 21:04:15.247,vedmonds,2010-01-16 21:05:08.013
996,2009-08-27 20:06:55.047,2009-03-04 00:00:00.000,Crystal River,FL,Citrus,Crystal River ,Kings Bay,1,1,1,,,,,0,,,,dmurphy,519,N,2009-02-10 00:00:00.000,300,N,2009-02-10 00:00:00.000,plan to release with Homeslice (LPZ102641),LPZ,1,vedmonds,2009-08-27 20:06:55.047,vedmonds,2009-08-28 21:07:20.667
999,2009-08-28 21:09:44.450,2009-03-04 00:00:00.000,Crystal River,FL,Citrus,Crystal River,Kings Bay,1,1,1,,,,,0,,,,dmurphy,361,N,2009-02-10 00:00:00.000,251,N,2009-02-10 00:00:00.000,released with Uncle (LPZ102655),LPZ,1,vedmonds,2009-08-28 21:09:44.450,vedmonds,2009-08-28 21:10:34.733
1002,2010-02-09 17:44:17.157,2010-02-08 00:00:00.000,Berkeley Canal,FL,Brevard,Satellite Beach,Indian River,1,0,0,1,1,halodule and sedge,"03",0,B,B,>12,bnolan,376,N,2010-02-02 00:00:00.000,245,N,2010-02-02 00:00:00.000,Sea 2 Shore stated body score of 4/5.,LVS,1,lmcduffie,2010-02-09 17:44:17.157,jdavis,2010-02-11 10:49:02.433
1002,2010-05-14 11:25:07.253,2010-05-18 00:00:00.000,Kars Park,FL,Brevard,Merritt Island,Banana River,0,0,0,1,1,sea grass,"01",1,B,B,"01",mrodriguez,385,Y,2010-05-13 00:00:00.000,254,N,2010-05-13 00:00:00.000,,MSQ,1,jlinvill,2010-05-14 11:25:07.253,jlinvill,2010-05-20 14:09:28.110
1002,2011-03-03 17:09:53.730,2011-03-03 00:00:00.000,Indian River ,FL,Brevard,Port St. John,Indian River,0,0,0,1,,,,0,,,,sgearhart,350,N,2011-03-03 00:00:00.000,257,N,2011-03-03 00:00:00.000,Kringle will be released from the boat out in the Indian River near the FPL plant. ,SWF,1,bwagoner,2011-03-03 17:09:53.730,bwagoner,2011-03-03 17:12:48.630
1004,2011-01-19 17:06:22.297,2011-02-01 00:00:00.000,Turkey Point Power Plant,FL,Miami/Dade,Miami,Adjacent canal,1,1,0,1,1,sea grass,"04",1,B,B,>12,mrodriguez,340,Y,2011-01-19 00:00:00.000,235,N,2011-01-19 00:00:00.000,,MSQ,1,jlinvill,2011-01-19 17:06:22.297,jlinvill,2011-02-16 12:19:26.590
1009,2009-08-27 19:03:09.123,2009-02-20 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Sarasota/North Port,Salt Creek,1,1,1,,,,,0,,,,dmurphy,290,N,2009-02-10 00:00:00.000,237,N,2009-02-10 00:00:00.000,Released with Curlew Creek (LPZ102470).  Denise Boyd from FWCC-SWFS assisting,LPZ,1,vedmonds,2009-08-27 19:03:09.123,vedmonds,2009-08-27 19:04:42.967
1010,2009-08-29 00:12:37.113,2009-02-27 00:00:00.000,Three Sister's Spring,FL,Citrus,Crystal River,Three Sister's Spring,1,1,1,,,,,0,,,,dmurphy,310,N,2009-02-10 00:00:00.000,235,N,2009-02-10 00:00:00.000,releasing with female manatee Baby Coral LPZ102333,LPZ,1,vedmonds,2009-08-29 00:12:37.113,vedmonds,2009-08-29 00:13:26.537
1011,2010-02-24 15:59:38.427,2010-02-16 00:00:00.000,Three Sisters Springs,FL,Citrus,Crystal River,Crystal River/Kings Bay,1,1,1,1,1,"Hydrilla, Hyacinth and Najas","12",1,F,F,"12",mlowe,390,N,2010-02-16 00:00:00.000,256,N,2010-02-16 00:00:00.000,Veterinarian Mike Walsh,HSSWP,1,slowe,2010-02-24 15:59:38.427,slowe,2010-02-24 16:09:10.997
1026,2010-02-24 11:38:00.770,2010-02-16 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Crystal River/Kings Bay,1,1,1,1,1,"Hydrilla, Hyacinth and Najas.",>12,1,F,F,"12",mlowe,286,N,2010-02-16 00:00:00.000,233,N,2010-02-16 00:00:00.000,Veterinarians Mike Walsh and Ray Ball,HSSWP,1,slowe,2010-02-24 11:38:00.770,slowe,2010-02-24 15:47:57.650
1026,2010-02-24 11:43:31.850,2010-02-16 00:00:00.000,Three Sister Springs ,FL,Citrus,Crystal River,Crystal River/Kings Bay,1,1,0,1,1,"Hydrilla, Hyacinth(12month)and Najas (for 30 days)","12",1,F,F,"12",mlowe,286,N,2010-02-16 00:00:00.000,233,N,2010-02-16 00:00:00.000,Veterinarians Mike Walsh and Ray Ball,HSSWP,1,slowe,2010-02-24 11:43:31.850,slowe,2010-02-24 15:47:57.650
1032,2011-01-19 17:13:15.547,2011-02-08 00:00:00.000,Southern basin off the Earman River ,FL,Palm Beach,North Palm Beach,Earman River,1,1,0,1,1,sea grass,"04",1,B,B,>12,mrodriguez,254,N,2011-01-11 00:00:00.000,225,N,2011-01-19 00:00:00.000,,MSQ,1,jlinvill,2011-01-19 17:13:15.547,jlinvill,2011-02-16 12:52:05.603
1033,2010-02-18 21:13:47.880,2010-02-17 00:00:00.000,Warm Mineral Springs,FL,Sarasota,North Port,Warm Mineral Springs,1,1,1,1,1,hydrilla,"10",0,F,B,,dmurphy,304,N,2010-02-04 00:00:00.000,236,N,2010-02-04 00:00:00.000,,LPZ,1,vedmonds,2010-02-18 21:13:47.880,vedmonds,2010-02-18 21:15:02.940
1034,2009-08-27 15:41:33.843,2009-05-18 00:00:00.000,MacArthur Beach State Park,FL,Palm Beach,North Palm Beach,Lake Worth Lagoon,1,1,0,1,1,sea grass,"01",1,B,B,"01",mrodriguez,247,N,2009-05-18 00:00:00.000,219,N,2009-05-18 00:00:00.000,,MSQ,1,mrodriguez,2009-08-27 15:41:33.843,mrodriguez,2009-08-27 15:45:12.817
1036,2009-09-08 09:26:54.863,2009-05-26 00:00:00.000,Kars Park,FL,Brevard,Merritt Island,Banana River,1,1,1,,,,,0,,,,sgearhart,286,N,2009-04-16 00:00:00.000,226,N,2009-04-16 00:00:00.000,,FWS,1,nadimey,2009-09-08 09:26:54.863,nadimey,2009-09-08 09:27:24.567
1036,2011-03-06 17:27:30.587,2011-02-22 00:00:00.000,Satellite Beach,FL,Brevard,Satellite Beach,Burkeley Canal,1,1,1,,,,,0,,,,rball,488,N,2011-01-27 00:00:00.000,254,N,2011-01-27 00:00:00.000,,LPZ,1,vedmonds,2011-03-06 17:27:30.587,vedmonds,2011-03-06 17:28:04.440
1037,2011-03-02 17:08:53.607,2011-02-22 00:00:00.000,Berkeley Canal,FL,Brevard,Satellite Beach,Indian River Lagoon,1,0,0,,,,,0,,,,bnolan,356,N,2011-02-11 00:00:00.000,279,N,2010-07-20 00:00:00.000,,LVS,1,jdavis,2011-03-02 17:08:53.607,jdavis,2011-04-05 13:54:58.437
1038,2009-08-27 15:45:57.380,2009-07-30 00:00:00.000,KARS Park,FL,Brevard,Merritt Island,Banana River,1,0,0,,,,,0,,,,cdold,455,N,2009-07-30 00:00:00.000,288,N,2009-07-30 00:00:00.000,,SWF,1,bwagoner,2009-08-27 15:45:57.380,bwagoner,2009-08-27 15:48:48.240
1040,2009-08-12 14:25:25.130,2009-05-21 00:00:00.000,Julington Creek,FL,Duval,Jacksonville,St Johns River,0,0,0,,,,,0,,,,sgearhart,1525,N,2009-04-16 00:00:00.000,329,N,2009-04-16 00:00:00.000,"Originally rescued from cold stress with cold stress calf, Mom and calf both being released",SWF,1,csandersre,2009-08-12 14:25:25.130,csandersre,2009-08-12 14:26:25.490
1041,2009-08-12 14:32:50.083,2009-05-21 00:00:00.000,Julington Creek,FL,Duval,Jacksonville,St Johns River,0,0,0,,,,,0,,,,sgearhart,385,N,2009-04-16 00:00:00.000,190,N,2009-04-16 00:00:00.000,"Cold stress calf brought in with cold stress mother, both mom/calf being released",SWF,1,csandersre,2009-08-12 14:32:50.083,csandersre,2009-08-12 14:34:44.537
1047,2010-04-15 16:59:37.227,2010-04-27 00:00:00.000,Blue Springs State Park,FL,Volusia,"Orange City, FL",St. Johns River,1,0,0,,,,,0,,,,lcroft,350,N,2010-02-14 00:00:00.000,237,N,2010-02-14 00:00:00.000,"Eva will be released along with her mother, Mossback",SWF,1,bwagoner,2010-04-15 16:59:37.227,bwagoner,2010-04-27 14:47:36.390
1063,2009-08-28 21:33:41.390,2009-09-01 00:00:00.000,St. John's River,FL,Putnam,Palatka,St. John's River,1,1,1,,,,,0,,,,dmurphy,530,N,2009-08-27 00:00:00.000,291,N,2009-08-27 00:00:00.000,"will be released with dependant calf LPZ102718 and dependant, adopted calf LPZ102705",LPZ,1,vedmonds,2009-08-28 21:33:41.390,vedmonds,2009-09-20 15:48:01.670
1066,2009-08-27 15:52:26.320,2009-05-15 00:00:00.000,Biscayne National Park-Convoy Point,FL,Miami/Dade,Homestead,Biscayne National Park,1,1,0,1,,,,1,B,B,"01",mrodriguez,439,N,2009-05-15 00:00:00.000,275,N,2009-05-15 00:00:00.000,,MSQ,1,jlinvill,2009-08-27 15:52:26.320,jlinvill,2009-08-27 15:54:20.197
1067,2009-08-28 21:46:39.150,2009-07-09 00:00:00.000,Three Sister's Spring,FL,Citrus,Crystal River,Three Sister's Spring,1,1,1,,,,,0,,,,dmurphy,342,N,2009-06-25 00:00:00.000,249,N,2009-06-25 00:00:00.000,,LPZ,1,vedmonds,2009-08-28 21:46:39.150,vedmonds,2009-08-28 21:48:13.353
1069,2009-08-28 21:56:55.097,2009-07-08 00:00:00.000,"Coffe Pot Park, 1st St and 31st Ave N",FL,Pinellas,St. Petersburg,Coffe Pot Bayou,1,1,1,,,,,0,,,,dmurphy,575,N,2009-06-25 00:00:00.000,234,N,2009-06-25 00:00:00.000,Released at 3 pm from park boat ramp,LPZ,1,vedmonds,2009-08-28 21:56:55.097,vedmonds,2009-08-28 21:58:32.020
1071,2011-02-04 12:57:55.973,2010-11-23 00:00:00.000,Apollo Beach Park,FL,Hillsborough,Apollo Beach,Tampa Bay,1,1,1,1,,hydrilla,,0,F,B,,rball,301,N,2010-11-23 00:00:00.000,252,N,2010-11-18 00:00:00.000,,LPZ,1,dszemer,2011-02-04 12:57:55.973,dszemer,2011-02-04 12:58:37.623
1074,2009-08-26 15:05:55.360,2009-07-10 00:00:00.000,Port of the Islands Marina,FL,Collier,Port of the Islands,Faka Union Canal,1,1,1,,,,,0,,,,dmurphy,424,N,2009-06-25 00:00:00.000,285,N,2009-06-25 00:00:00.000,,LPZ,1,vedmonds,2009-08-26 15:05:55.360,vedmonds,2009-08-26 15:08:52.550
