"MLog","RescueDate","RescuePerDay","State","County","City","Waterway","Latitude","Longitude","Pregnant","Health","RescueType","PrimCauseID","PrimText","SecCauseID","SecText","WhereRel","Dead","Tracker","Transporter","FacTransTo","VetID","PartOrg","FloodGate","Pot","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
12,1999-06-09 00:00:00.000,1,FL,Collier,Naples,Naples Bay,26.140930,-81.790080,U,U,B,NaDp,,,,,0,,DEP,LPZ,dmurphy,,,U,29,N,1999-06-09 00:00:00.000,117,N,1999-06-09 00:00:00.000,,Unk,jhackshaw,1999-06-10 00:00:00.000,D,2009-07-09 13:59:06.707
13,2000-04-28 00:00:00.000,1,FL,Lee,Ft Myers,Caloosahatchee River,26.696500,-81.801780,U,U,B,BoIm,,,,,0,,,LPZ,dmurphy,,,U,409,Y,2000-04-28 00:00:00.000,281,N,2000-04-28 00:00:00.000,,Unk,lkeith,2000-04-29 00:00:00.000,D,2009-07-09 13:59:06.707
14,2000-06-13 00:00:00.000,1,FL,Manatee,Bradenton,Wares Creek,27.496670,-82.578610,U,U,B,BoIm,,,,,0,,FWC,LPZ,dmurphy,,,U,234,N,2000-06-13 00:00:00.000,239,N,2000-06-13 00:00:00.000,,Unk,jhackshaw,2000-06-14 00:00:00.000,D,2009-07-09 13:59:06.707
15,1977-03-16 00:00:00.000,1,FL,Lee,Unknown,Unknown,89.999900,-179.999900,U,U,B,BoBo,,,,,0,,,Unk,unk,,,U,95,U,1977-03-16 00:00:00.000,190,U,1977-03-16 00:00:00.000,,Unk,unk,1977-03-16 00:00:00.000,D,2009-07-09 13:59:06.707
16,1998-12-04 00:00:00.000,1,FL,Lee,Boca Grande,Little Gasparilla Pass,89.999900,-179.999900,U,U,A,Enta,,,,,0,,,Unk,unk,,,U,181,Y,1998-12-04 00:00:00.000,153,U,1998-12-04 00:00:00.000,,Unk,unk,1999-01-29 00:00:00.000,D,2009-07-09 13:59:06.707
17,1995-01-24 00:00:00.000,1,FL,Citrus,Crystal River,"Gator Hole, Kings Bay",28.883330,-82.583340,U,U,A,Enta,fish hook in manatee tail,,,,0,,,,mlowe,,,U,0,U,1995-01-24 00:00:00.000,0,U,1995-01-24 00:00:00.000,Fish hook embedded in manatee tail.  SCUBA diver from American Pro Dive removed hook with hand.  Hook had 3 ft of monofilament line trailing it.,HSSWP,unk,1995-01-24 00:00:00.000,dszemer,2011-05-31 13:20:01.970
18,1995-10-18 00:00:00.000,1,FL,Manatee,Palmetto Snead Island,Champlain Bayou,27.536110,-82.614440,U,U,A,Enta,,,,,0,,,Unk,unk,,,U,0,U,1995-10-18 00:00:00.000,200,Y,1995-10-18 00:00:00.000,,Unk,swright,1995-10-19 00:00:00.000,D,2009-07-09 13:59:06.707
19,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428328,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:21:02.030
20,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:26:18.517
21,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:27:29.933
22,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:28:38.227
23,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:30:12.197
24,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:31:40.313
25,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:32:53.260
26,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:33:58.117
27,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,0,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:35:04.157
28,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:35:59.297
29,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:37:18.943
30,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:38:49.640
31,1992-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Hillsborough River,28.023850,-82.428327,U,S,A,NaTi,,,,,0,,,,,"DNR, City of Tampa, Lowry Park Zoo",,U,0,U,1992-05-01 00:00:00.000,280,U,1992-05-01 00:00:00.000,"1 of 13 tidally stranded manatees (at least 2 cavorting herds). All appeared in good health and were able to free themselves when water was released form Dam with some help form DNR, Lowry Park Zoo, and volunteer personnel.",DEP,unk,1992-05-01 00:00:00.000,dszemer,2013-03-06 10:39:51.983
32,1983-09-03 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,NaTi,,,,,0,,SWF,Unk,unk,,,U,0,U,1983-09-03 00:00:00.000,0,U,1983-09-03 00:00:00.000,,Unk,unk,1983-09-03 00:00:00.000,D,2009-07-09 13:59:06.707
33,1984-11-18 00:00:00.000,1,FL,Duval,Jacksonville,Unknown,89.999900,-179.999900,U,U,A,Unk ,,,,,0,,FWS,Unk,unk,,,U,0,U,1984-11-18 00:00:00.000,0,U,1984-11-18 00:00:00.000,,Unk,unk,1984-11-18 00:00:00.000,D,2009-07-09 13:59:06.707
34,1985-05-25 00:00:00.000,1,PR,Aguadilla,Unknown,Unknown,89.999900,-179.999900,U,U,A,Enta,,,,,1,,FMP,Unk,unk,,,U,0,U,1985-05-25 00:00:00.000,0,U,1985-05-25 00:00:00.000,,Unk,unk,1985-05-25 00:00:00.000,D,2009-07-09 13:59:06.707
35,1981-02-08 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,NaTi,,,,,0,,,Unk,unk,,,U,0,U,1981-02-08 00:00:00.000,0,U,1981-02-08 00:00:00.000,,Unk,unk,1981-02-08 00:00:00.000,D,2009-07-09 13:59:06.707
36,1981-02-08 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,NaTi,,,,,0,,FMP,Unk,unk,,,U,0,U,1981-02-08 00:00:00.000,0,U,1981-02-08 00:00:00.000,,Unk,unk,1981-02-08 00:00:00.000,D,2009-07-09 13:59:06.707
37,1982-02-12 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,Enta,,,,,0,,FMP,Unk,unk,,,U,0,U,1982-02-12 00:00:00.000,0,U,1982-02-12 00:00:00.000,,Unk,unk,1982-02-12 00:00:00.000,D,2009-07-09 13:59:06.707
38,1998-05-28 00:00:00.000,1,FL,Brevard,Cocoa beach,Banana River,89.999900,-179.999900,U,U,A,Enta,,,,,0,,,Unk,unk,,,U,0,U,1998-05-28 00:00:00.000,152,Y,1998-05-28 00:00:00.000,,Unk,aspellman,1998-05-28 00:00:00.000,D,2009-07-09 13:59:06.707
39,1988-05-24 00:00:00.000,1,FL,Collier,Everglades City,Unknown,89.999900,-179.999900,U,U,B,BoIm,,,,,1,,DNR,MSQ,unk,,,U,0,U,1988-05-24 00:00:00.000,320,U,1988-05-24 00:00:00.000,,Unk,unk,1988-05-24 00:00:00.000,D,2009-07-09 13:59:06.707
41,1982-01-16 00:00:00.000,1,FL,St. Lucie,Unknown,Indian river,27.451670,-80.322780,U,U,B,NaCs,,,,,1,,SWF,SWF,unk,,,U,79,U,1982-01-16 00:00:00.000,162,U,1982-01-16 00:00:00.000,,Unk,unk,1982-01-16 00:00:00.000,D,2009-07-09 13:59:06.707
42,1976-08-13 00:00:00.000,1,FL,St. Johns,Ponte vedra,SJR,30.200000,-81.416660,U,U,B,NaUn,,,,,0,,MARINELAND,MARINELAND,unk,,,U,31,U,1976-08-13 00:00:00.000,119,U,1976-08-13 00:00:00.000,,Unk,unk,1976-08-13 00:00:00.000,D,2009-07-09 13:59:06.707
43,1984-11-20 00:00:00.000,1,FL,Citrus,Homossassa,Homosassa River,28.797220,-82.594440,U,U,B,BoPr,,,,,0,,HSSWP,Unk,unk,,,U,245,U,1984-11-20 00:00:00.000,250,U,1984-11-20 00:00:00.000,,Unk,unk,1984-11-20 00:00:00.000,D,2009-07-09 13:59:06.707
44,1976-03-05 00:00:00.000,1,FL,Brevard,Cocoa beach,Banana River,89.999900,-179.999900,U,U,B,Unk ,,,,,0,,MARINELAND,MARINELAND,unk,,,U,145,U,1976-03-05 00:00:00.000,181,U,1976-03-05 00:00:00.000,,Unk,unk,1976-03-05 00:00:00.000,D,2009-07-09 13:59:06.707
45,1978-02-01 00:00:00.000,1,FL,Lee,Ft. Myers,Orange River,26.684720,-81.785280,U,U,B,NaOt,,,,,0,,,MSQ,unk,,,U,613,U,1978-02-01 00:00:00.000,315,U,1978-02-01 00:00:00.000,,Unk,unk,1978-02-01 00:00:00.000,D,2009-07-09 13:59:06.707
46,1978-02-14 00:00:00.000,1,FL,Glades,Moorehaven,Lake Okeechobee,26.835280,-81.083610,U,U,B,NaCs,,,,,1,,,MSQ,unk,,,U,609,U,1978-02-14 00:00:00.000,312,U,1978-02-14 00:00:00.000,,Unk,unk,1978-02-14 00:00:00.000,D,2009-07-09 13:59:06.707
47,1978-02-28 00:00:00.000,1,FL,Lee,Matlacha,Matlacha Pass,26.618330,-82.052500,U,U,B,NaOt,,,,,0,,,MSQ,unk,,,U,431,U,1978-02-28 00:00:00.000,275,U,1978-02-28 00:00:00.000,,Unk,unk,1978-02-28 00:00:00.000,D,2009-07-09 13:59:06.707
48,1984-04-19 00:00:00.000,1,FL,Miami/Dade,Miami,Biscayne bay,25.702780,-80.244450,U,U,B,BoBo,,,,,0,,,MSQ,unk,,,U,175,U,1984-04-19 00:00:00.000,204,U,1984-04-19 00:00:00.000,,Unk,unk,1984-04-19 00:00:00.000,D,2009-07-09 13:59:06.707
49,1997-11-22 00:00:00.000,1,FL,Brevard,Port St John,"Port St John, Indian River",28.497220,-80.775050,U,U,B,NaUn,,,,,1,,,Unk,unk,,,U,80,N,1997-11-22 00:00:00.000,163,N,1997-11-22 00:00:00.000,,Unk,aspellman,1997-11-26 00:00:00.000,D,2009-07-09 13:59:06.707
50,1997-12-21 00:00:00.000,1,FL,Indian River,Sebastain,Indian River,27.825300,-80.469220,U,U,B,NaOt,,,,,1,,DEP,DNR,unk,,,U,33,N,1997-12-21 00:00:00.000,117,U,1997-12-21 00:00:00.000,,Unk,jsmith,1997-12-29 00:00:00.000,D,2009-07-09 13:59:06.707
51,1990-05-12 00:00:00.000,1,FL,Flagler,Palm Coast,ICW,29.605470,-81.203350,U,U,B,BoBo,,,,,0,,DNR,Unk,unk,,,U,0,U,1990-05-12 00:00:00.000,279,U,1990-05-12 00:00:00.000,,Unk,unk,1990-05-12 00:00:00.000,D,2009-07-09 13:59:06.707
52,1993-07-13 00:00:00.000,1,FL,Duval,Jacksonville,St John's River,30.282780,-81.700000,U,U,A,Enta,,,,,0,,,Unk,unk,,,U,0,U,1993-07-13 00:00:00.000,275,Y,1993-07-13 00:00:00.000,,Unk,bbrooks,1993-07-14 00:00:00.000,D,2009-07-09 13:59:06.707
53,1993-10-19 00:00:00.000,1,FL,St. Johns,St. Augustine,Guana Lake Dam,30.023330,-81.328330,U,U,A,TrWC,Undetermined,,,,0,,,,,,,U,0,U,1993-10-19 00:00:00.000,245,N,1993-10-19 00:00:00.000,,DERM,bbrooks,1993-10-25 00:00:00.000,nadimey,2009-08-19 12:07:52.210
54,1995-01-11 00:00:00.000,1,FL,Flagler,Palm Coast,Intercoastal Waterway,29.598580,-81.200200,U,U,B,BoIm,,,,,1,,DEP,DEP,jwhaley,,,U,438,U,1995-01-11 00:00:00.000,263,U,1995-01-11 00:00:00.000,,Unk,unk,1995-01-11 00:00:00.000,D,2009-07-09 13:59:06.707
55,1991-06-06 00:00:00.000,1,FL,Pinellas,Largo,Mc Kay Creek,27.899190,-82.831490,U,U,B,NaUn,,,,,1,,DNR,Unk,unk,,,U,27,U,1991-06-06 00:00:00.000,94,U,1991-06-06 00:00:00.000,,Unk,unk,1991-06-06 00:00:00.000,D,2009-07-09 13:59:06.707
56,1995-07-24 00:00:00.000,1,FL,Citrus,Crystal River,Crystal River,28.923790,-82.685810,U,U,B,NaBu,,,,,1,,,Unk,mlowe,,,U,363,U,1995-07-24 00:00:00.000,275,U,1995-07-24 00:00:00.000,,Unk,tlinley,1995-07-27 00:00:00.000,D,2009-07-09 13:59:06.707
57,1991-04-12 00:00:00.000,1,FL,Broward,Hollywood,ICW,25.996990,-80.119210,U,U,B,BoPr,,,,,1,,,Unk,unk,,,U,0,U,1991-04-12 00:00:00.000,232,U,1991-04-12 00:00:00.000,,Unk,nadimey,1991-04-12 00:00:00.000,D,2009-07-09 13:59:06.707
58,1993-08-23 00:00:00.000,1,FL,Palm Beach,Lantana,Beach in Lantana.,26.564720,-80.050550,U,U,A,NaTi,,,,,0,,,Unk,mwalsh,,,U,0,U,1993-08-23 00:00:00.000,287,N,1993-08-23 00:00:00.000,,Unk,bwagoner,1993-08-26 00:00:00.000,D,2009-07-09 13:59:06.707
59,1996-02-07 00:00:00.000,1,FL,Palm Beach,Riviera Beach,Lake Worth-RBPP,26.764440,-80.049720,U,U,A,Enta,,,,,0,,,,,,,U,0,U,1996-02-07 00:00:00.000,265,U,1996-02-07 00:00:00.000,,SIRENIA,unk,1996-02-07 00:00:00.000,dszemer,2010-11-19 11:51:40.953
60,1996-09-19 00:00:00.000,1,FL,St. Lucie,Ft. Pierce,Intake canal,27.345280,-80.238050,U,U,A,TrPo,Undetermined,,,,0,,,,,,,U,431,N,1996-09-19 00:00:00.000,297,N,1996-09-19 00:00:00.000,,SWF,bwagoner,1996-09-18 00:00:00.000,nadimey,2009-08-19 12:10:38.950
61,1996-11-05 00:00:00.000,1,FL,Palm Beach,N Palm Beach,Little Lake Worth,26.850000,-80.050550,U,U,A,TrOt,in pond in Lost Tree Village golf course,,,,0,,DEP,,,,,U,363,Y,1996-11-05 00:00:00.000,248,N,1996-11-05 00:00:00.000,,FWCT,boucher,1996-11-06 00:00:00.000,dszemer,2010-11-30 11:20:15.610
62,1997-03-13 00:00:00.000,1,FL,Miami/Dade,Miami,Coral Gables Waterway,25.673890,-80.268330,U,U,B,Enta,,,,,0,,MSQ,MSQ,gbossart,,,U,163,N,1997-03-13 00:00:00.000,280,N,1997-03-13 00:00:00.000,,Unk,boucher,1997-03-14 00:00:00.000,D,2009-07-09 13:59:06.707
63,1997-05-27 00:00:00.000,1,FL,Palm Beach,Riviera Beach,Lake Worth,26.785550,-80.042400,U,U,B,NaDp,,Huma,"upon necropsy, found black plastic-like material blocking cecum.",,1,,DEP,,,DEP SE,,U,28,N,1997-05-27 00:00:00.000,130,N,1997-05-27 00:00:00.000,,FWCT,aperry,1997-06-02 00:00:00.000,dszemer,2012-05-02 13:41:09.690
64,1997-07-07 00:00:00.000,1,FL,Monroe,Key Largo,Buttonwood Sound,25.109170,-80.431390,U,U,A,Enta,,,,,0,,,,,"DEP SE, DEP NW, FMRI, DRC, FMP",,U,363,N,1997-07-07 00:00:00.000,261,N,1997-07-07 00:00:00.000,,FWCT,aperry,1997-07-10 00:00:00.000,dszemer,2016-09-15 09:04:35.503
64,1999-05-22 00:00:00.000,1,FL,Monroe,Tavernier,Community Harbor,25.007780,-80.518890,U,U,B,Enta,,,,,0,,MSQ,MSQ,mrodriguez,,,U,409,Y,1999-05-22 00:00:00.000,272,N,1999-05-22 00:00:00.000,,MSQ,aperry,1999-07-26 00:00:00.000,dszemer,2010-12-02 09:52:33.213
64,2002-05-18 00:00:00.000,1,FL,Monroe,Key Largo,"Buttonwood Sound, Florida Bay",25.098890,-80.438890,U,S,A,Enta,,,,,0,,,Unk,mrodriguez,"Miami Seaquarium - Chris Plant, Ryan and Daniel (MSQ employees)
Dolphins Plus - volunteers and employees",,U,681,N,2002-05-18 00:00:00.000,300,Y,2002-05-18 00:00:00.000,"Approximately 1330h, SEFL-PMH received a call from DRC-Brittany regarding a report of a monofilament-entangled manatee in Key Largo.  Dolphins Plus volunteer, Robert Ligenfelser was on site.  He was reporting that the manatee was ""Dually.""  PMH asked Key ",FWCT,chudak,2002-05-24 00:00:00.000,D,2009-07-09 13:59:06.707
64,2004-08-23 00:00:00.000,1,FL,Monroe,Key Largo,Sexton Cove,25.170780,-80.384910,U,S,A,Enta,,,,,0,,,Unk,mrodriguez,"FWC-SEFL, DRC, MSQ, and Kit Curtin",,U,681,U,2004-08-23 00:00:00.000,307,N,2004-08-23 00:00:00.000,"22 August 2004: At 1630 hrs, FWC South Region (Marathon) received a call regarding an entangled manatee in Key Largo, Monroe County.  DRC-Cindy was contacted and sent out volunteers to check the area, but was unable to locate.  Kit Curtin responded a Key ",FWCT,chudak,2004-08-24 00:00:00.000,D,2009-07-09 13:59:06.707
64,2004-11-09 00:00:00.000,1,FL,Monroe,Key Largo,Buttonwood Sound,25.114900,-80.437950,U,S,A,Enta,,,,,0,,,Unk,mrodriguez,"Fish & Wildlife Commission, Dolphin Research Center, and Miami Seaquarium",,U,681,Y,2004-11-09 00:00:00.000,290,N,2004-11-09 00:00:00.000,"9 November 2004: DRC and Kit Curtin arrived at rendezvous site by approximately 0900 hrs.  FWC-CAH and ALS arrived at the scene by approximately 0930 hrs, followed by MSQ crew by approximately 1015 hrs.  Rescue crew began to track Dually near the C Key ",FWCT,chudak,2004-11-18 00:00:00.000,D,2009-07-09 13:59:06.707
64,2005-08-10 00:00:00.000,1,FL,Monroe,Tavernier,Tavernier Creek,25.008040,-80.531470,U,S,A,Enta,,,,,0,,,Unk,mrodriguez,FWC - CAH & WYG; Dolphin Research Center - Pat Clough and rescue crew; Dr. Menchaca & Dr. Renner; Save the Manatee Club - Kit Curtin,,U,0,U,2005-08-10 00:00:00.000,302,N,2005-08-10 00:00:00.000,"3 June 2005: Dually was sighted with monofilament entanglement on flippers by Kit Curtin  Save the Manatee Club (STMC).

6-27 June 2005: A couple days later, Dually was sighted again with monofilament wrapped around and connected to both flipper Tave",FWCT,chudak,2005-08-12 00:00:00.000,D,2009-07-09 13:59:06.707
64,2016-03-07 00:00:00.000,1,FL,Monroe,Key Largo,Tarpon Basin,25.112530,-80.429470,N,S,A,Enta,,,,,0,,,,,FWC Volunteer (H. Janzen),,,,,,305,Y,2016-03-07 00:00:00.000,had nursing calf with her,FWCT,ahowell,2016-03-25 07:51:59.017,dszemer,2016-09-15 09:09:14.933
64,2018-02-25 00:00:00.000,1,FL,Monroe,Tavernier,Florida Bay,24.995195,-80.541238,U,U,U,Enta,,,,,0,,,,,Kit Curtin,,U,,,,305,Y,2018-02-25 00:00:00.000,had dependent calf with her,FWCT,ahowell,2018-05-15 09:57:39.333,D,2018-05-15 09:57:39.333
