"MLog","RelDate","RelSite","State","County","City","Waterway","BottomFeed","NatVeg","VegType","MonthsVeg","DisplayType","RelType","MonthsExpWater","Tracker","PartOrg","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
66,2001-03-29 00:00:00.000,Riveria Power Plant,FL,Palm Beach,Riveria Beach,Intercoastal Waterway,0,0,,"00",U,U,"00",,"FWC, MSQ",mrodriguez,409,N,2001-03-29 00:00:00.000,226,N,2001-03-12 00:00:00.000,Animal rehabed due to cold stress,MSQ,rrose,2001-03-12 00:00:00.000,D,2009-07-09 15:37:31.523
72,2000-03-01 00:00:00.000,"Blue Springs State Park, Orango City",FL,Volusia,Orange City,Blue Springs,0,0,,"00",U,U,"00",,,mrodriguez,318,Y,2000-03-01 00:00:00.000,249,N,2000-03-01 00:00:00.000,,MSQ,rrose,2000-02-24 00:00:00.000,D,2009-07-09 15:37:31.523
74,2003-06-11 00:00:00.000,Key Largo,FL,Monroe,Key Largo,Florida Bay,0,0,,"00",B,B,>12,,,mrodriguez,590,N,2003-01-12 00:00:00.000,283,N,2003-12-01 00:00:00.000,,MSQ,cplante,2003-07-10 00:00:00.000,dszemer,2010-12-01 13:32:43.847
76,2001-04-11 00:00:00.000,"Miami Seaquarium, Rickenbacker Causeway",FL,Miami/Dade,Miami,Biscayne Bay,0,0,,"00",U,U,"00",,"FWC, MSQ",mrodriguez,454,U,2001-03-30 00:00:00.000,294,N,2001-03-30 00:00:00.000,"Serious infection into the bone of right flipper due to entanglement, pec flipper had to be amputated. ",MSQ,rrose,2001-03-30 00:00:00.000,D,2009-07-09 15:37:31.523
81,1991-11-02 00:00:00.000,Unknown,PR,Ceiba,Ceiba,Pelican Cove,0,0,,"00",U,U,"00",,CSN,lfigueroao,52,N,1991-11-02 00:00:00.000,63,N,1991-11-02 00:00:00.000,,CSN,unk,1991-02-11 00:00:00.000,D,2009-07-09 15:37:31.523
81,1994-03-22 00:00:00.000,Puerto Rico,PR,Ceiba,Unknown,Puerto Rico,0,0,,"00",U,U,"00",,,lfigueroao,28,U,1994-03-22 00:00:00.000,115,U,1994-03-22 00:00:00.000,,CSN,amignucci,1994-03-22 00:00:00.000,D,2009-07-09 15:37:31.523
90,2003-09-18 00:00:00.000,Between the Radar Site & East Island,PR,Punta Slainas,Toa Baja,La Playita,1,1,Seagrasses-Thallassi,"01",F,B,"00",CSN,"CSN, Sirenia, USFWS, DNR",lfigueroao,305,N,2003-09-14 00:00:00.000,250,N,2003-09-14 00:00:00.000,Will stay in seapen for 3-6 months to acclimate to environement,CSN,nadimey,2003-09-25 00:00:00.000,D,2009-07-09 15:37:31.523
122,2001-06-13 00:00:00.000,Terry Island,FL,Palm Beach,Belle Glade,"South Bay, Rim Canal, Lake Okechobee",0,0,,"00",U,U,"00",FWC,"FWC, MSQ",mrodriguez,409,N,2001-05-31 00:00:00.000,294,N,2001-05-31 00:00:00.000,Not sure which coast animal came from,MSQ,rrose,2001-05-31 00:00:00.000,D,2009-07-09 15:37:31.523
132,2000-06-22 00:00:00.000,"Rookery Bay Research Reserve, Collier County, Flor",FL,Collier,Port Charlotte,Rookery Bay,0,0,,"00",U,U,"00",,,dmurphy,500,Y,2000-06-22 00:00:00.000,305,N,2000-06-22 00:00:00.000,MSW0479,LPZ,jhackshaw,2000-06-12 00:00:00.000,D,2009-07-09 15:37:31.523
133,2000-06-22 00:00:00.000,"FDEP's Rookery Bay Research Reserve, Collier Count",FL,Collier,Port Charlotte,Rookery Bay,0,0,,"00",U,U,"00",,,dmurphy,284,Y,2000-06-22 00:00:00.000,254,N,2000-06-22 00:00:00.000,,LPZ,jhackshaw,2000-06-12 00:00:00.000,D,2009-07-09 15:37:31.523
134,2000-06-22 00:00:00.000,FDEP's Rookery Bay Research Reserve.,FL,Collier,Port Charlotte,Rookery Bay,0,0,,"00",U,U,"00",,,dmurphy,613,N,2000-06-22 00:00:00.000,309,N,2000-06-22 00:00:00.000,,LPZ,jhackshaw,2000-06-12 00:00:00.000,D,2009-07-09 15:37:31.523
139,2001-05-22 00:00:00.000,Delnor Wiggins State park,FL,Collier,North Naples,TurkeyBay,1,0,,"00",U,U,"00",,"FWC, LPZ",dmurphy,590,N,2001-05-04 00:00:00.000,309,N,2001-05-04 00:00:00.000,Released with Cinco D. Mayo,LPZ,lrottman,2001-04-03 00:00:00.000,D,2009-07-09 15:37:31.523
161,1992-05-28 00:00:00.000,"Upper Banana River, within boudaries of MINWR.",FL,Brevard,Cocoa Beach,MINWR,0,0,,"00",U,U,"00",,,mlowe,563,N,1992-05-28 00:00:00.000,288,N,1992-05-28 00:00:00.000, Release with calf 'Lydia',HSSWP,tlinley,1992-04-16 00:00:00.000,D,2009-07-09 15:37:31.523
161,1993-04-07 00:00:00.000,"Mangrove, Jupiter",FL,Martin,Hobe Sound,Hobe Sound,0,0,,"00",U,U,"00",,,gbossart,534,N,1993-04-07 00:00:00.000,288,N,1993-04-07 00:00:00.000,,MSQ,jhoyo,1993-04-02 00:00:00.000,D,2009-07-09 15:37:31.523
165,1987-05-27 00:00:00.000,"Miami, Cutler Ridge and 152nd street.  Biscayne Ba",FL,Miami/Dade,Miami,FPL plant,0,0,,"00",U,U,"00",,,unk,180,U,1987-05-27 00:00:00.000,242,U,1987-05-27 00:00:00.000,Released with Serenia MQ2-87.,MSQ,unk,1987-05-27 00:00:00.000,D,2009-07-09 15:37:31.523
166,1987-05-27 00:00:00.000,Cutler Ridge and 152nd street. Released with Sebas,FL,Miami/Dade,Miami,FPL plant,0,0,,"00",U,U,"00",,,unk,127,U,1987-05-27 00:00:00.000,208,U,1987-05-27 00:00:00.000,,MSQ,unk,1987-05-27 00:00:00.000,D,2009-07-09 15:37:31.523
170,1994-07-19 00:00:00.000,Unknown,FL,Citrus,Unknown,Homosassa River,0,0,,"00",U,U,"00",,,mlowe,636,U,1994-07-19 00:00:00.000,302,N,1994-07-19 00:00:00.000,,LPZ,tlinley,1994-06-03 00:00:00.000,D,2009-07-09 15:37:31.523
172,1989-03-08 00:00:00.000,Ft. Myers. Radiotagged TFM-37.,FL,Lee,Ft. Myers,Orange River,0,0,,"00",U,U,"00",,,mwalsh,375,U,1989-03-08 00:00:00.000,268,U,1989-03-08 00:00:00.000,,SWF,bwagoner,1989-03-08 00:00:00.000,D,2009-07-09 15:37:31.523
174,1990-05-02 00:00:00.000,Cape canaverl sewage plant,FL,Brevard,Cocoa,Cape canaverl sewage plant,0,0,,"00",U,U,"00",,,dbuesse,280,U,1990-05-02 00:00:00.000,235,U,1990-05-02 00:00:00.000,,SWF,bwagoner,1990-05-02 00:00:00.000,D,2009-07-09 15:37:31.523
176,1989-05-04 00:00:00.000,Naples. Radiotagged TFM-38.,FL,Collier,Naples,Wiggins Pass State Park,0,0,,"00",U,U,"00",,,mwalsh,108,U,1989-05-04 00:00:00.000,638,U,1989-05-04 00:00:00.000,,SWF,bwagoner,1989-05-04 00:00:00.000,D,2009-07-09 15:37:31.523
177,1988-06-07 00:00:00.000,Radiotagged TBC-23 and S-22,FL,Brevard,Cocoa beach,"Banana River, MINWR",0,0,,"00",U,U,"00",,,dbuesse,401,U,1988-06-07 00:00:00.000,273,U,1988-06-07 00:00:00.000,,SWF,bwagoner,1988-06-07 00:00:00.000,D,2009-07-09 15:37:31.523
180,1990-05-02 00:00:00.000,MINWR,FL,Brevard,Cocoa,MINWR,0,0,,"00",U,U,"00",,,mwalsh,290,U,1990-05-02 00:00:00.000,235,U,1990-05-02 00:00:00.000,,SWF,jpearson,1990-05-02 00:00:00.000,D,2009-07-09 15:37:31.523
184,1995-09-06 00:00:00.000,The Everglades,FL,Monroe,Flamingo,Buttonwood canal,0,0,,"00",U,U,"00",,,gbossart,590,N,1995-09-06 00:00:00.000,292,U,1995-09-06 00:00:00.000,,LPZ,unk,1995-09-06 00:00:00.000,D,2009-07-09 15:37:31.523
187,1990-09-11 00:00:00.000,Club Continental,FL,Clay,Orange Park,SJR,0,0,,"00",U,U,"00",,,mwalsh,416,U,1990-09-11 00:00:00.000,279,U,1990-09-11 00:00:00.000,,SWF,jpearson,1990-09-11 00:00:00.000,D,2009-07-09 15:37:31.523
188,1989-07-18 00:00:00.000,Unknown,FL,Sarasota,Unknown,Englewood,0,0,,"00",U,U,"00",,,mwalsh,214,U,1989-07-18 00:00:00.000,215,U,1989-07-18 00:00:00.000,,SWF,jpearson,1989-07-18 00:00:00.000,D,2009-07-09 15:37:31.523
189,2009-02-26 00:00:00.000,Blue Spring,FL,Volusia,Orange City,Blue Spring,1,1,Hydrilla,"02",F,F,>12,Melody Fischer,,sgearhart,1359,N,2009-01-15 00:00:00.000,361,N,2009-01-15 00:00:00.000,,MMPL,nadimey,2009-09-08 09:52:14.617,dszemer,2010-02-05 10:30:42.747
190,1982-07-16 00:00:00.000,Ft. Myers,FL,Lee,Ft Myers,Caloosahatchee River,0,0,,"00",U,U,"00",,,mwalsh,386,U,1982-07-16 00:00:00.000,277,U,1982-07-16 00:00:00.000,,SWF,bwagoner,1982-07-16 00:00:00.000,D,2009-07-09 15:37:31.523
191,1982-09-02 00:00:00.000,Sykes Creek,FL,Brevard,Merritt Island,Sykes Creek,0,0,,"00",U,U,"00",,,mwalsh,236,U,1982-09-02 00:00:00.000,233,U,1982-09-02 00:00:00.000,,SWF,bwagoner,1982-09-02 00:00:00.000,D,2009-07-09 15:37:31.523
192,1988-06-07 00:00:00.000,Merritt Island NWR. Released with Hillary,FL,Brevard,Cocoa,Merritt Island NWR. Released with Hillary,0,0,,"00",U,U,"00",,,mwalsh,328,U,1988-06-07 00:00:00.000,248,U,1988-06-07 00:00:00.000,,SWF,bwagoner,1988-06-07 00:00:00.000,D,2009-07-09 15:37:31.523
193,1986-07-01 00:00:00.000,Long Key. ESCAPED.,FL,Miami/Dade,Keys,Long Key. ESCAPED.,0,0,,"00",U,U,"00",,,mwalsh,0,U,1986-07-01 00:00:00.000,275,U,1986-07-01 00:00:00.000,"adult manatee, escaped before final health assessm",SWF,bwagoner,1986-07-01 00:00:00.000,D,2009-07-09 15:37:31.523
197,1991-06-06 00:00:00.000,"Near capture site, Indian River, haul over canal, ",FL,Brevard,Cocoa,Indian River,0,0,,"00",U,U,"00",,,mwalsh,454,Y,1991-06-06 00:00:00.000,280,N,1991-06-06 00:00:00.000,,HSSWP,bwagoner,1991-03-28 00:00:00.000,D,2009-07-09 15:37:31.523
199,1989-10-23 00:00:00.000,Unknown,FL,Hillsborough,Unknown,Palm River,0,0,,"00",U,U,"00",,,mwalsh,169,U,1989-10-23 00:00:00.000,197,U,1989-10-23 00:00:00.000,,SWF,jpearson,1989-10-23 00:00:00.000,D,2009-07-09 15:37:31.523
200,2011-02-15 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange City,St. John's River,1,1,hydrilla,>12,F,F,>12,Sea to Shore Alliance,Sea to Shore Alliance,rball,769,N,2011-02-15 00:00:00.000,332,N,2010-01-27 00:00:00.000,,LPZ,vedmonds,2011-03-06 17:15:30.770,D,2011-03-06 17:15:30.770
200,2011-05-31 00:00:00.000,Lake Dexter off SJR,FL,Volusia,Astor,Lake Dexter,1,1,,"00",F,F,"00",Monica Ross/Sea 2 Shore,"Sea 2 Shore
SWF",sgearhart,675,N,2011-05-15 00:00:00.000,326,N,2011-03-25 00:00:00.000,"Originally released 2/15/2011 at BSSP, brought back in from Silver Glen Springs on 3/25/2011, 2nd release attempt this year.",FWS,bwagoner,2011-06-02 07:56:10.853,nadimey,2012-01-30 13:27:14.637
206,1990-04-10 00:00:00.000,Unknown,FL,St. Lucie,Unknown,Unknown,0,0,,"00",U,U,"00",,,mwalsh,454,U,1990-04-10 00:00:00.000,305,U,1990-04-10 00:00:00.000,,SWF,jpearson,1990-04-10 00:00:00.000,D,2009-07-09 15:37:31.523
207,1991-07-30 00:00:00.000,Tampa Bay,FL,Hillsborough,Tampa,Tampa Bay,0,0,,"00",U,U,"00",,,mwalsh,390,N,1991-07-30 00:00:00.000,257,N,1991-07-30 00:00:00.000,TTB005,SWF,jpearson,1991-06-05 00:00:00.000,D,2009-07-09 15:37:31.523
209,1991-07-02 00:00:00.000,Charlotte Harbor-Manatee River.,FL,Charlotte,Charlotte Harbor,Charlotte Harbor,0,0,,"00",U,U,"00",,,mwalsh,225,N,1991-07-02 00:00:00.000,200,N,1991-07-02 00:00:00.000," Original tags L:0006009966,R:000600E2DF not functional-retagged",SWF,jpearson,1991-06-05 00:00:00.000,D,2009-07-09 15:37:31.523
210,1990-10-19 00:00:00.000,Clewiston area,FL,Hendry,Clewiston,Clewiston,0,0,,"00",U,U,"00",,,gbossart,500,N,1990-10-19 00:00:00.000,292,N,1990-10-19 00:00:00.000,,MSQ,jhoyo,1990-08-27 00:00:00.000,D,2009-07-09 15:37:31.523
211,1997-04-01 00:00:00.000,HSSWP,FL,Citrus,Homosassa,HSSWP,0,0,,"00",U,U,"00",,,mwalsh,611,U,1997-04-01 00:00:00.000,285,U,1997-04-01 00:00:00.000,TTB059,HSSWP,jpearson,1997-04-01 00:00:00.000,D,2009-07-09 15:37:31.523
214,1995-09-28 00:00:00.000,Port St. Lucie Power Plant,FL,Martin,Hutchinson Island,Blind Creek,0,0,,"00",U,U,"00",,,mrenner,863,N,1995-09-28 00:00:00.000,305,N,1995-09-28 00:00:00.000,,MSQ,jhoyo,1995-09-26 00:00:00.000,D,2009-07-09 15:37:31.523
217,1990-12-10 00:00:00.000,Matheson Hammock,FL,Miami/Dade,Miami,Biscayne Bay,0,0,,"00",U,U,"00",,,gbossart,516,U,1990-12-10 00:00:00.000,303,U,1990-12-10 00:00:00.000,,MSQ,jhoyo,1990-12-10 00:00:00.000,D,2009-07-09 15:37:31.523
219,1990-08-21 00:00:00.000,Merritt Island,FL,Brevard,Cocoa Beach,Merritt Island,0,0,,"00",U,U,"00",,,mwalsh,636,N,1990-08-21 00:00:00.000,304,N,1990-08-21 00:00:00.000,,SWF,bwagoner,1990-08-05 00:00:00.000,D,2009-07-09 15:37:31.523
219,2020-12-16 00:00:00.000,Port St. John boat ramp ,FL,Brevard,Port St John,Indian River,,,,,,,,,"SWF,ECFWC,SMC,BREVARD ZOO",creid,711,N,2020-12-16 00:00:00.000,327,N,2020-12-16 00:00:00.000,,SWF,lbraso,2020-12-16 12:12:50.297,D,2020-12-16 12:12:50.297
220,1990-08-21 00:00:00.000,Merritt Island,FL,Brevard,Cocoa Beach,Merritt Island,0,0,,"00",U,U,"00",,,mwalsh,193,N,1990-08-21 00:00:00.000,210,N,1990-08-21 00:00:00.000,,SWF,bwagoner,1990-08-05 00:00:00.000,D,2009-07-09 15:37:31.523
221,1990-11-07 00:00:00.000,Unknown,FL,Martin,Hobe Sound,Hobe Sound,0,0,,"00",U,U,"00",,,gbossart,535,U,1990-11-07 00:00:00.000,295,U,1990-11-07 00:00:00.000,,MSQ,jhoyo,1990-11-07 00:00:00.000,dszemer,2010-11-30 12:53:47.493
223,1994-07-19 00:00:00.000,Harbour Hieghts,FL,Charlotte,Harbor Heights,Peace River,0,0,,"00",U,U,"00",,,mlowe,431,N,1994-07-19 00:00:00.000,281,U,1994-07-19 00:00:00.000,,LPZ,tlinley,1994-06-03 00:00:00.000,D,2009-07-09 15:37:31.523
228,1991-07-15 00:00:00.000,Bana River Merritt Island Area. Radio tagged.,FL,Brevard,Cocoa beach,Banana River,0,0,,"00",U,U,"00",,,mwalsh,221,N,1991-07-15 00:00:00.000,219,N,1991-07-15 00:00:00.000,,SWF,jpearson,1991-06-05 00:00:00.000,D,2009-07-09 15:37:31.523
231,1991-06-25 00:00:00.000,"Manatee Springs River area, Suwannee River area",FL,Suwannee,Chiefland,Manatee Springs,0,0,,"00",U,U,"00",,,mwalsh,222,Y,1991-06-25 00:00:00.000,223,Y,1991-06-25 00:00:00.000,,FWS,bwagoner,1991-06-05 00:00:00.000,csandersre,2009-09-09 14:15:59.040
233,1991-07-24 00:00:00.000,St. Lucie Power Plant,FL,St. Lucie,Ft. Pierce,Indian River,0,0,,"00",U,U,"00",,,mwalsh,594,N,1991-07-24 00:00:00.000,310,N,1991-07-24 00:00:00.000,TFP-03,SWF,bwagoner,1991-06-05 00:00:00.000,dszemer,2010-11-30 10:11:17.313
237,1986-03-28 00:00:00.000,Homosassa River,FL,Citrus,Homosassa,Homosassa River,0,0,,"00",U,U,"00",,,unk,0,U,1986-03-28 00:00:00.000,0,N,1986-03-28 00:00:00.000,"tracked two months, tag in shrimp trawl offshore",HSSWP,unk,1986-03-28 00:00:00.000,D,2009-07-09 15:37:31.523
239,1995-06-01 00:00:00.000,MINWR,FL,Brevard,Cocoa,staging area,0,0,,"00",U,U,"00",,,mwalsh,409,U,1995-06-01 00:00:00.000,284,U,1995-06-01 00:00:00.000,TBC-44,SWF,bwagoner,1995-06-01 00:00:00.000,D,2009-07-09 15:37:31.523
241,2002-02-18 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Port Charlotte,Salt Creek/Warm Mineral Springs,0,0,,"00",U,U,"00",Wildlife Trust,"Sea World Orlando
FWC, Southwest Field Station",sgearhart,595,N,2001-12-03 00:00:00.000,303,N,2001-12-03 00:00:00.000,"Animal was released with another manatee ""Lowry""
from Lowry Park Zoo. Spike was radio tagged by FWC",SWF,bwagoner,2002-10-02 00:00:00.000,D,2009-07-09 15:37:31.523
243,1992-04-23 00:00:00.000,At FPL plant,FL,Lee,Ft. Myers,Orange River,1,0,,"00",U,U,"00",,,dmurphy,231,N,1992-04-23 00:00:00.000,213,N,1992-04-23 00:00:00.000,,LPZ,lsalisbury,1992-04-17 00:00:00.000,D,2009-07-09 15:37:31.523
244,1992-05-28 00:00:00.000,MINWR,FL,Brevard,Cocoa Beach,MINWR,0,0,,"00",U,U,"00",,,mlowe,409,N,1992-05-28 00:00:00.000,267,U,1992-05-28 00:00:00.000,,HSSWP,tlinley,2000-04-16 00:00:00.000,D,2009-07-09 15:37:31.523
245,1997-04-29 00:00:00.000,Blue Springs,FL,Volusia,Orange City,Blue Springs,0,0,,"00",U,U,"00",,,tcampbell,743,N,1997-04-29 00:00:00.000,294,N,1997-04-29 00:00:00.000,,SWF,bwagoner,1997-04-22 00:00:00.000,D,2009-07-09 15:37:31.523
246,1991-11-12 00:00:00.000,"Lemon Bay, Ft. Myers",FL,Lee,Ft. Myers,Lemon Bay,0,0,,"00",U,U,"00",,,dmurphy,239,N,1991-11-12 00:00:00.000,234,N,1991-11-12 00:00:00.000,,LPZ,lsalisbury,1991-11-04 00:00:00.000,D,2009-07-09 15:37:31.523
247,1986-03-28 00:00:00.000,Homosassa River,FL,Citrus,Homosassa,Homosassa River,0,0,,"00",U,U,"00",,,unk,0,U,1986-03-28 00:00:00.000,0,N,1986-03-28 00:00:00.000,"tracked only a few months, tether severed",HSSWP,unk,1986-03-28 00:00:00.000,D,2009-07-09 15:37:31.523
254,1992-09-21 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,Blue Springs,0,0,,"00",U,U,"00",,,tcampbell,308,N,1992-09-21 00:00:00.000,275,N,1992-09-21 00:00:00.000,,SWF,bwagoner,1992-10-02 00:00:00.000,D,2009-07-09 15:37:31.523
255,1994-06-22 00:00:00.000,"MINWR, Banana River, NASA Causeway, East Rt 405",FL,Brevard,Cocoa,Indian River,0,0,,"00",U,U,"00",,,tcampbell,511,N,1994-06-22 00:00:00.000,264,N,1994-06-22 00:00:00.000,,SWF,bwagoner,1994-06-21 00:00:00.000,D,2009-07-09 15:37:31.523
258,2008-02-11 00:00:00.000,Orange City,FL,Volusia,Orange City,Blue Spring,0,1,hydrilla/hyacinth,"00",U,U,"00",,FWC-NWFS,dmurphy,720,N,2008-02-11 00:00:00.000,323,N,2008-02-11 00:00:00.000,,LPZ,vedmonds,2008-02-11 00:00:00.000,D,2009-07-09 15:37:31.523
258,2010-02-23 00:00:00.000,Silver Glenn Springs,FL,Marion,Fort McCoy,Silver Glen Springs,1,1,Sea grass,"01",F,F,"02",Sea2Shore,"Sea2Shore
Ocala National Forest Rangers
SeaWorld Fl",sgearhart,605,N,2010-02-11 00:00:00.000,311,N,2010-02-11 00:00:00.000,Hurricane will be tagged and tracked by Sea2Shore,SWF,bwagoner,2010-02-23 15:55:36.677,D,2010-02-23 15:55:36.677
259,1992-10-13 00:00:00.000,Fort Myers,FL,Charlotte,Fort Myers,Shell Creek,0,0,,"00",U,U,"00",,,dmurphy,454,Y,1992-10-13 00:00:00.000,277,N,1992-10-13 00:00:00.000,,LPZ,lsalisbury,1992-10-08 00:00:00.000,D,2009-07-09 15:37:31.523
261,1995-08-31 00:00:00.000,MINWR,FL,Brevard,Cocoa beach,Banana River,0,0,,"00",U,U,"00",,,mrenner,297,U,1995-08-31 00:00:00.000,244,U,1995-08-31 00:00:00.000,,MSQ,jhoyo,1995-08-31 00:00:00.000,D,2009-07-09 15:37:31.523
264,1985-02-19 00:00:00.000,Homosassa,FL,Citrus,Homossassa,Homosassa River,0,0,,"00",U,U,"00",,,mwalsh,436,U,1985-02-19 00:00:00.000,295,U,1985-02-19 00:00:00.000,,HSSWP,bwagoner,1985-02-19 00:00:00.000,D,2009-07-09 15:37:31.523
265,1981-05-06 00:00:00.000,Ft. Myers,FL,Lee,Ft Myers,Caloosahatchee River,0,0,,"00",U,U,"00",,,mwalsh,0,U,1981-05-06 00:00:00.000,0,N,1981-05-06 00:00:00.000,,SWF,bwagoner,1981-05-06 00:00:00.000,D,2009-07-09 15:37:31.523
266,1981-05-06 00:00:00.000,Ft. Myers,FL,Lee,Ft Myers,Caloosahatchee River,0,0,,"00",U,U,"00",,,mwalsh,409,U,1981-05-06 00:00:00.000,303,U,1981-05-06 00:00:00.000,mom of Caloosa,SWF,bwagoner,1981-05-06 00:00:00.000,D,2009-07-09 15:37:31.523
269,1992-07-28 00:00:00.000,"Merritt Island, Brevard",FL,Brevard,Cocoa Beach,Merritt,0,0,,"00",U,U,"00",,,tcampbell,190,N,1992-07-28 00:00:00.000,220,N,1992-07-28 00:00:00.000,,SWF,bwagoner,1992-07-01 00:00:00.000,D,2009-07-09 15:37:31.523
271,1992-10-07 00:00:00.000,"Rookery Bay, Port Charlotte, FL Port of the Island",FL,Collier,Port Charlotte,Rookery Bay,0,0,,"00",U,U,"00",,,gbossart,363,N,1992-10-07 00:00:00.000,240,N,1992-10-07 00:00:00.000,,MSQ,jhoyo,1992-10-08 00:00:00.000,D,2009-07-09 15:37:31.523
274,1995-07-20 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,Blue Springs,0,0,,"00",U,U,"00",,,tcampbell,325,N,1995-07-20 00:00:00.000,260,N,1995-07-20 00:00:00.000,,SWF,jkraus,1995-07-20 00:00:00.000,D,2009-07-09 15:37:31.523
274,1997-03-19 00:00:00.000,"Blue Springs State Park, Orange City, Florida",FL,Volusia,Orange City,Blue Springs,0,0,,"00",U,U,"00",,,tcampbell,325,N,1997-03-19 00:00:00.000,260,N,1997-03-19 00:00:00.000,,SWF,bwagoner,1997-03-31 00:00:00.000,D,2009-07-09 15:37:31.523
275,1993-06-17 00:00:00.000,Braden River in Manatee County,FL,Manatee,Braden,Braden River,0,0,,"00",U,U,"00",,,dmurphy,350,N,1993-06-17 00:00:00.000,257,N,1993-06-17 00:00:00.000,,LPZ,lsalisbury,1993-06-11 00:00:00.000,D,2009-07-09 15:37:31.523
276,2002-02-15 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange Park,"Blue Spring, SJR",1,0,,"00",U,U,"00",Wildlife Trust,,dmurphy,490,N,2002-02-08 00:00:00.000,300,N,2002-02-08 00:00:00.000,,LPZ,vedmonds,2003-01-30 00:00:00.000,D,2009-07-09 15:37:31.523
276,2003-02-24 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange Park,"Blue Spring, SJR",1,0,,"00",U,U,"00",Wildlife Trust,USFW,dmurphy,486,N,2003-02-21 00:00:00.000,310,N,2003-02-21 00:00:00.000,,LPZ,nadimey,2003-02-25 00:00:00.000,D,2009-07-09 15:37:31.523
