"MLog","DeathDate","CauseID","OtherText","Euth","DeathLoc","Org","VetID","Comments","CreateBy","CreateDate","UpdateBy","UpdateDate"
238,1991-09-27 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,"entercolitius, intestinitus",rrunnells,1991-09-27 00:00:00.000,D,2009-07-09 10:09:34.293
239,1996-01-18 00:00:00.000,BoPr,,0,AftRel,UNK,mwalsh,,bwagoner,1995-03-20 00:00:00.000,D,2009-07-09 10:09:34.293
240,1991-07-18 00:00:00.000,BoIm,,0,Rehab,UNK,mwalsh,Septicemia,bwagoner,1991-07-24 00:00:00.000,D,2009-07-09 10:09:34.293
242,1995-02-09 00:00:00.000,BoIm,,1,Rehab,UNK,tcampbell,euthanized,rrunnells,1995-01-26 00:00:00.000,D,2009-07-09 10:09:34.293
244,2010-08-07 00:00:00.000,Unde,too decomposed,0,AftRel,MMPL,,,dszemer,2012-02-29 13:06:28.930,D,2012-02-29 13:06:28.930
245,2015-04-22 00:00:00.000,Othe,"Georgia had a retained fetus, surgery was performed to try and remove it, unable to remove it at this time.  Moved back to our rehab pool for recovery and given post care for several days. She died due to complications from the surgery, post-surgery.",0,Rehab,SWF,sgearhart,"Georgia was rescued back in Jan. 2014 due to severe weight loss, during her rehab period she had times when she was doing well and eating, then would stop eating for periods but our vets could not find the source of her chronic inflammation. She was final diagnosed with a retained fetus from a previous calf (2013?). Plans were made to try and removed the retained fetus (fetal bones).",bwagoner,2015-04-30 06:23:52.310,D,2015-04-30 06:23:52.310
246,1997-07-21 00:00:00.000,NaOt,,0,AftRel,UNK,unk,bacterial pneumonia,unk,1997-07-21 00:00:00.000,D,2009-07-09 10:09:34.293
249,1991-12-16 00:00:00.000,NaOt,,0,Rehab,UNK,mwalsh,"Renal failure, blood loss during caf delivery",bwagoner,1991-12-20 00:00:00.000,D,2009-07-09 10:09:34.293
252,1992-01-04 00:00:00.000,NaOt,,0,Rehab,UNK,mwalsh,"infection, severe dermitutus, septicemia, emaciate",bwagoner,1992-01-06 00:00:00.000,D,2009-07-09 10:09:34.293
253,1992-01-28 00:00:00.000,NaOt,,0,Rehab,UNK,gbossart,cachexia,gbossart,1992-01-29 00:00:00.000,D,2009-07-09 10:09:34.293
255,2023-08-12 00:00:00.000,BoBo,,0,AftRel,,,,bgreer,2023-10-02 11:28:20.663,D,2023-10-02 11:28:20.663
256,1992-04-18 00:00:00.000,BoUn,,0,Rehab,UNK,dmurphy,"puntured lungs, spetic infection",lsalisbury,1992-04-20 00:00:00.000,D,2009-07-09 10:09:34.293
258,2010-03-06 00:00:00.000,NaOt,,0,AftRel,MMPL,,,dszemer,2010-04-19 10:34:24.470,D,2010-04-19 10:34:24.470
260,1992-04-22 00:00:00.000,NaOt,,0,Rehab,UNK,gbossart,"GI torsion, twisted colon, abscess & pus in abdomi",jhoyo,1992-04-23 00:00:00.000,D,2009-07-09 10:09:34.293
261,1995-11-18 00:00:00.000,BoPr,,0,AftRel,UNK,mrenner,,jhoyo,1995-11-20 00:00:00.000,D,2009-07-09 10:09:34.293
263,1992-05-18 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,"Chronic debilitation, malnutrition",bwagoner,1992-05-17 00:00:00.000,D,2009-07-09 10:09:34.293
267,2023-04-29 00:00:00.000,Othe,Pending necropsy result,0,Rehab,MOTE,astamper,,afoltz,2023-04-30 09:54:06.913,D,2023-04-30 09:54:06.913
270,1992-07-02 00:00:00.000,Othe,,0,PriorTr,UNK,mwalsh,Stillborn calf.,bwagoner,1992-07-02 00:00:00.000,D,2009-07-09 10:09:34.293
271,1993-10-28 00:00:00.000,EnCr,,0,AftRel,UNK,gbossart,Crab trap entanglement.  Right flipper was connect,jhoyo,1993-10-28 00:00:00.000,D,2009-07-09 10:09:34.293
272,1993-07-12 00:00:00.000,BoIm,,0,Rehab,UNK,mwalsh,severe pyothorax,bwagoner,1993-07-12 00:00:00.000,D,2009-07-09 10:09:34.293
273,1992-08-06 00:00:00.000,NaOt,,0,Rehab,UNK,tcampbell,retention of dead calf,bwagoner,1992-08-06 00:00:00.000,D,2009-07-09 10:09:34.293
275,2008-09-08 00:00:00.000,TrCu,,0,AftRel,MMPL,unk,Wedged dorsum up in culvert; seagrass in mouth; full stomach; abundant fats.,dszemer,2008-09-08 00:00:00.000,D,2009-07-09 10:09:34.293
277,1992-09-17 00:00:00.000,NaOt,,0,Rehab,UNK,dmurphy,"Bacteria & septicemia, acute enteritius",dthompson,1992-09-17 00:00:00.000,D,2009-07-09 10:09:34.293
278,1992-05-24 00:00:00.000,BoUn,,0,PriorTr,UNK,dmurphy,,lsalisbury,1992-05-27 00:00:00.000,D,2009-07-09 10:09:34.293
280,1995-09-25 00:00:00.000,Othe,,0,AftRel,UNK,unk,"Ortona Locke, floodgate crushing",unk,1995-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
281,1992-09-24 00:00:00.000,Othe,,0,PriorTr,UNK,tcampbell,"Respiratory failure, possibly related to toxemia",jpearson,1992-09-28 00:00:00.000,D,2009-07-09 10:09:34.293
283,1992-12-01 00:00:00.000,BoIm,,0,Rehab,UNK,tcampbell,,bwagoner,1992-12-04 00:00:00.000,D,2009-07-09 10:09:34.293
284,1992-12-21 00:00:00.000,NaOt,,0,Rehab,HSSWP,mlowe,premature birth,jgarner,1992-12-21 00:00:00.000,dszemer,2013-06-25 14:19:26.317
285,2008-07-07 00:00:00.000,HumI,,0,AftRel,MMPL,unk,"intussusceptions, monofliament, fishing gear SI",dszemer,2008-09-02 00:00:00.000,D,2009-07-09 10:09:34.293
286,2000-12-09 00:00:00.000,BoIm,,0,AftRel,FWCSW,,,dboyd,2024-03-27 08:28:52.333,D,2024-03-27 08:28:52.333
287,1993-01-03 00:00:00.000,Othe,,0,PriorTr,UNK,dmurphy,Natural,lsalisbury,1993-01-03 00:00:00.000,D,2009-07-09 10:09:34.293
288,1996-04-14 00:00:00.000,Othe,,0,AftRel,UNK,dmurphy,,lsalisbury,1996-04-14 00:00:00.000,D,2009-07-09 10:09:34.293
289,1994-03-06 00:00:00.000,Unde,,0,AftRel,UNK,dmurphy,,lsalisbury,1994-03-06 00:00:00.000,D,2009-07-09 10:09:34.293
291,1993-08-06 00:00:00.000,BoPr,,0,Rehab,UNK,tcampbell,"sever trauma to tail, resp. failure in surgery",bwagoner,1993-08-09 00:00:00.000,D,2009-07-09 10:09:34.293
292,1999-09-27 00:00:00.000,TrGa,,0,AftRel,UNK,tcampbell,"S-21 flood control structure, crushed by gate",sbutler,1999-09-29 00:00:00.000,D,2009-07-09 10:09:34.293
